Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_2,Matches
346,Marquinhos,br BRA,"DF,FW",Fluminense,21-040,2003,6,537,90,99.4,6.0,6,90,5,0,,0,0.83,8,12,-4,-0.67,-0.67,6.0,7.9,-1.9,-0.31,+8.78,Matches
347,Juan Martín Lucero,ar ARG,FW,Fortaleza,32-169,1991,4,214,54,47.6,2.4,2,81,0,2,27,1,1.50,3,0,+3,+1.26,+2.02,1.3,2.1,-0.8,-0.33,-0.68,Matches
348,Martinelli,br BRA,"MF,DF",Fluminense,23-007,2001,6,495,83,91.7,5.5,6,83,5,0,,0,0.83,8,11,-3,-0.55,+1.45,6.0,7.8,-1.8,-0.33,+0.41,Matches
349,Adriano Martins,br BRA,DF,Atl Goianiense,27-046,1997,3,255,85,56.7,2.8,3,85,2,0,,0,0.33,2,3,-1,-0.35,+1.95,3.4,2.8,+0.7,+0.23,+1.17,Matches
350,Gustavo Martins Santos,br BRA,DF,Grêmio,21-280,2002,3,257,86,71.4,2.9,2,90,2,1,77,0,2.00,4,2,+2,+0.70,+1.57,3.0,2.1,+0.9,+0.30,+1.46,Matches
351,Gonzalo Mastriani,uy URU,FW,Ath Paranaense,31-019,1993,5,147,29,27.2,1.6,1,90,1,4,14,1,2.00,1,2,-1,-0.61,-2.22,0.8,2.5,-1.7,-1.06,-1.67,Matches
352,Fellipe Mateus,br BRA,MF,Criciúma,33-095,1991,3,262,87,97.0,2.9,3,87,1,0,,0,1.67,6,2,+4,+1.37,+1.37,2.4,3.4,-1.0,-0.35,-0.28,Matches
353,Matheusinho,br BRA,"FW,MF",Vitória,26-212,1997,5,394,79,87.6,4.4,5,79,2,0,,0,0.20,4,10,-6,-1.37,-1.37,3.6,7.5,-3.9,-0.90,-1.01,Matches
354,Matheusinho,br BRA,"FW,MF",Criciúma,26-096,1998,2,25,13,9.3,0.3,0,,0,2,13,1,1.00,1,0,+1,+3.60,+2.50,0.3,0.5,-0.2,-0.86,-0.58,Matches
355,Matheuzinho,br BRA,"DF,FW",Corinthians,23-252,2000,4,198,50,36.7,2.2,1,90,1,3,36,1,1.25,0,1,-1,-0.45,-0.19,2.6,1.2,+1.5,+0.67,+0.59,Matches
356,Mauricio,br BRA,MF,Internacional,22-361,2001,4,336,84,93.3,3.7,4,84,1,0,,0,1.75,3,3,0,0.00,-3.75,6.0,3.0,+3.1,+0.82,+0.31,Matches
357,Max,br BRA,"MF,FW",Atl Goianiense,21-324,2002,4,43,11,9.6,0.5,0,,0,4,11,1,0.25,0,2,-2,-4.19,-3.30,0.1,1.5,-1.4,-2.86,-2.86,Matches
358,Max,br BRA,MF,Cuiabá,23-005,2001,1,15,15,4.2,0.2,0,,0,1,15,0,0.00,0,0,0,0.00,+2.61,0.0,0.3,-0.3,-1.75,-0.72,Matches
359,Maycon,br BRA,MF,Corinthians,26-307,1997,2,47,24,8.7,0.5,0,,0,2,24,0,0.50,0,2,-2,-3.83,-3.83,0.5,1.1,-0.6,-1.21,-1.65,Matches
360,Mayke,br BRA,DF,Palmeiras,31-189,1992,5,340,68,63.0,3.8,4,81,2,1,18,1,1.00,1,3,-2,-0.53,-1.43,3.7,3.7,0.0,0.00,-0.99,Matches
361,Gary Medel,cl CHI,DF,Vasco da Gama,36-288,1987,2,108,54,20.0,1.2,2,54,0,0,,2,1.50,2,1,+1,+0.83,+2.08,2.0,0.7,+1.4,+1.14,+1.60,Matches
362,Eduardo Melo,br BRA,FW,Criciúma,23-004,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
363,Felipe Melo,br BRA,DF,Fluminense,40-326,1983,4,206,52,38.1,2.3,4,52,0,0,,1,1.25,3,4,-1,-0.44,+0.37,2.7,2.8,-0.2,-0.08,+0.45,Matches
364,Douglas Mendes,br BRA,DF,Red Bull Bragantino,19-339,2004,3,270,90,50.0,3.0,3,90,3,0,,2,2.33,5,3,+2,+0.67,+1.00,2.6,4.1,-1.6,-0.53,+0.35,Matches
365,Matheus Mendes,br BRA,GK,Atlético Mineiro,25-068,1999,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
366,Nathan Mendes,br BRA,DF,Red Bull Bragantino,21-272,2002,3,270,90,50.0,3.0,3,90,3,0,,0,0.67,2,3,-1,-0.33,-1.00,1.6,4.2,-2.6,-0.88,-0.35,Matches
367,Vinicius Mendonça,br BRA,FW,Red Bull Bragantino,20-087,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
368,Gabriel Menino,br BRA,MF,Palmeiras,23-231,2000,5,281,56,52.0,3.1,3,78,1,2,23,1,1.40,3,2,+1,+0.32,+0.67,4.3,2.4,+1.9,+0.61,+0.50,Matches
369,Gabriel Mercado,ar ARG,DF,Internacional,37-060,1987,3,225,75,62.5,2.5,2,90,2,1,45,1,2.33,4,2,+2,+0.80,+1.47,4.6,2.1,+2.5,+1.01,+0.57,Matches
370,Higor Meritão,br BRA,MF,Criciúma,29-329,1994,3,255,85,94.4,2.8,3,85,2,0,,0,1.67,6,2,+4,+1.41,+1.41,2.3,3.2,-0.9,-0.32,+0.31,Matches
371,Carlos Miguel,br BRA,GK,Corinthians,25-221,1998,3,270,90,50.0,3.0,3,90,3,0,,2,1.25,3,2,+1,+0.33,+1.33,4.6,3.2,+1.5,+0.49,+0.40,Matches
372,Lucas Mineiro,br BRA,MF,Cuiabá,28-083,1996,2,102,51,28.3,1.1,1,90,1,1,12,1,0.00,0,4,-4,-3.53,-1.44,0.5,2.0,-1.5,-1.30,-0.34,Matches
373,Moises,br BRA,FW,Fortaleza,27-258,1996,5,137,27,30.4,1.5,0,,0,5,27,0,1.40,2,2,0,0.00,-0.29,1.7,1.7,0.0,+0.03,+0.01,Matches
374,Jacob Montes,ni NCA,"FW,MF",Botafogo (RJ),25-210,1998,1,19,19,3.5,0.2,0,,0,1,19,3,3.00,1,1,0,0.00,-0.86,0.1,0.2,-0.1,-0.26,-0.44,Matches
375,João Moreira,pt POR,DF,São Paulo,19-362,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
376,Aníbal Moreno,ar ARG,MF,Palmeiras,25-004,1999,4,351,88,65.0,3.9,4,88,3,0,,0,1.25,2,1,+1,+0.26,+0.73,4.2,2.4,+1.8,+0.47,+0.30,Matches
377,Henry Mosquera,co COL,"FW,MF",Red Bull Bragantino,22-184,2001,6,389,65,72.0,4.3,4,79,2,2,38,0,1.50,5,3,+2,+0.46,+1.06,3.3,5.7,-2.3,-0.53,+0.60,Matches
378,Gustavo Mosquito,br BRA,FW,Corinthians,26-253,1997,4,159,40,29.4,1.8,1,45,0,3,38,2,1.00,3,1,+2,+1.13,+2.08,2.3,2.0,+0.3,+0.19,-0.14,Matches
379,Jean Mota,br BRA,MF,Vitória,30-215,1993,3,78,26,17.3,0.9,0,,0,3,26,2,0.00,1,1,0,0.00,+1.45,1.6,1.1,+0.5,+0.55,+1.60,Matches
380,Hugo Moura,br BRA,MF,Vasco da Gama,26-135,1998,3,130,43,24.1,1.4,2,43,0,1,45,0,0.00,1,5,-4,-2.77,-2.55,3.1,2.5,+0.6,+0.42,+0.75,Matches
381,Mycael,br BRA,GK,Ath Paranaense,20-066,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
382,Léo Naldi,br BRA,MF,Vitória,22-273,2001,2,74,37,16.4,0.8,1,45,0,1,29,3,0.50,1,1,0,0.00,+1.44,0.6,0.7,-0.2,-0.23,+0.65,Matches
383,Matheus Nascimento,br BRA,FW,Botafogo (RJ),20-075,2004,1,24,24,4.4,0.3,1,24,0,0,,1,3.00,0,0,0,0.00,-0.87,0.2,0.0,+0.2,+0.81,+0.67,Matches
384,Nata,br BRA,"MF,DF",Grêmio,22-347,2001,2,8,4,2.2,0.1,0,,0,2,4,2,3.00,0,0,0,0.00,-0.26,0.0,0.0,0.0,-0.29,-0.18,Matches
385,Nathan,br BRA,"FW,MF",Grêmio,28-065,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
386,Kaiky Naves,br BRA,FW,Palmeiras,22-009,2002,1,1,1,0.2,0.0,0,,0,1,1,2,3.00,0,0,0,0.00,0.00,0.1,0.0,+0.1,+8.84,+8.49,Matches
387,Nenê,br BRA,"MF,FW",Juventude,42-303,1981,4,267,67,74.2,3.0,4,67,0,0,,0,1.25,3,4,-1,-0.34,+0.63,2.2,4.2,-2.1,-0.70,-0.55,Matches
388,Neris,br BRA,DF,Cruzeiro,31-335,1992,4,231,58,51.3,2.6,3,77,1,1,1,1,1.75,3,6,-3,-1.17,-2.81,2.7,3.7,-1.0,-0.38,-0.58,Matches
389,Rodrigo Nestor,br BRA,"MF,FW",São Paulo,23-282,2000,4,161,40,29.8,1.8,2,64,0,2,17,2,2.25,5,3,+2,+1.12,+0.64,3.6,0.8,+2.8,+1.57,+1.08,Matches
390,José Vitor Silva Neves,br BRA,"FW,MF",Ath Paranaense,24-015,2000,3,86,29,15.9,1.0,0,,0,3,29,3,2.00,1,1,0,0.00,-1.19,0.1,1.2,-1.0,-1.08,-1.47,Matches
391,Newton,br BRA,MF,Criciúma,24-066,2000,1,15,15,5.6,0.2,0,,0,1,15,0,3.00,0,0,0,0.00,-1.41,0.2,0.3,-0.1,-0.63,-0.31,Matches
392,Nikão,br BRA,"FW,MF",Ath Paranaense,31-293,1992,3,120,40,22.2,1.3,1,60,0,2,30,0,2.33,3,0,+3,+2.25,+1.61,1.8,2.3,-0.5,-0.35,-0.65,Matches
393,Gustavo Nunes,br BRA,FW,Grêmio,18-179,2005,4,203,51,56.4,2.3,1,89,0,3,38,0,1.50,2,0,+2,+0.89,+1.46,1.9,2.3,-0.4,-0.17,-0.13,Matches
394,Cauly Oliveira Souza,br BRA,"MF,FW",Bahia,28-245,1995,6,463,77,85.7,5.1,5,84,1,1,45,0,2.17,8,6,+2,+0.39,-0.78,7.3,4.9,+2.4,+0.46,-0.97,Matches
395,Leo Ortiz,br BRA,DF,Flamengo,28-135,1996,2,93,47,17.2,1.0,1,90,1,1,3,4,2.00,1,1,0,0.00,-0.40,1.8,0.6,+1.1,+1.09,+1.09,Matches
396,Osvaldo,br BRA,"MF,FW",Vitória,37-036,1987,4,245,61,54.4,2.7,4,61,0,0,,0,0.25,3,6,-3,-1.10,+0.22,2.9,5.1,-2.2,-0.81,-0.09,Matches
397,Otávio,br BRA,MF,Atlético Mineiro,30-013,1994,5,450,90,100.0,5.0,5,90,5,0,,0,1.80,9,3,+6,+1.20,,5.8,3.7,+2.1,+0.43,,Matches
398,Pablo,br BRA,"FW,MF",Ath Paranaense,31-329,1992,5,374,75,69.3,4.2,5,75,0,0,,0,2.60,8,1,+7,+1.68,+2.23,6.5,3.4,+3.2,+0.76,+1.98,Matches
399,Pablo,br BRA,GK,Vasco da Gama,21-096,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
400,Pablo,br BRA,DF,Botafogo (RJ),32-331,1991,1,29,29,5.4,0.3,0,,0,1,29,1,3.00,1,0,+1,+3.10,+2.40,0.1,0.0,+0.1,+0.51,+0.35,Matches
401,Juan Pablo,br BRA,DF,Cuiabá,22-022,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
402,Bruno Pacheco,br BRA,DF,Fortaleza,32-161,1991,4,302,76,67.1,3.4,3,90,3,1,32,1,1.50,3,2,+1,+0.30,+0.30,2.8,3.3,-0.4,-0.13,-0.45,Matches
403,Brahian Palacios,co COL,FW,Atlético Mineiro,21-175,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
404,Helibelton Palacios,co COL,DF,Cruzeiro,30-341,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
405,Mateus Pasinato,br BRA,GK,Cuiabá,31-324,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
406,Patryck,br BRA,DF,São Paulo,21-120,2003,1,89,89,16.5,1.0,1,89,0,0,,4,3.00,2,1,+1,+1.01,+0.41,1.8,0.6,+1.2,+1.18,+0.45,Matches
407,Patrick de Paula,br BRA,MF,Botafogo (RJ),24-252,1999,1,11,11,2.0,0.1,0,,0,1,11,5,3.00,0,0,0,0.00,-0.85,0.1,0.5,-0.4,-3.50,-3.75,Matches
408,Paulinho,br BRA,FW,Atlético Mineiro,23-307,2000,5,403,81,89.6,4.5,5,81,0,0,,0,1.80,9,2,+7,+1.56,+3.48,5.2,2.9,+2.3,+0.52,+0.88,Matches
409,Paulinho,br BRA,MF,Corinthians,35-297,1988,6,118,20,21.9,1.3,1,45,0,5,15,0,0.83,0,1,-1,-0.76,-0.55,1.4,1.7,-0.3,-0.23,-0.68,Matches
410,Caio Paulista,br BRA,"DF,FW",Palmeiras,26-006,1998,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
411,Cristian Pavón,ar ARG,FW,Grêmio,28-117,1996,2,111,56,30.8,1.2,2,56,0,0,,0,1.50,2,2,0,0.00,-0.36,1.2,0.7,+0.4,+0.36,+0.69,Matches
412,Dimitri Payet,fr FRA,MF,Vasco da Gama,37-049,1987,2,111,56,20.6,1.2,2,56,0,0,,0,1.50,2,1,+1,+0.81,+2.07,2.5,0.6,+1.9,+1.56,+2.15,Matches
413,Pedrão,br BRA,DF,Atl Goianiense,31-151,1992,2,105,53,23.3,1.2,1,90,1,1,15,3,0.00,0,2,-2,-1.71,-0.67,0.9,1.5,-0.6,-0.53,-0.33,Matches
414,Pedrinho,br BRA,MF,Atlético Mineiro,26-034,1998,1,25,25,5.6,0.3,0,,0,1,25,4,3.00,1,0,+1,+3.60,+2.54,0.8,0.2,+0.6,+2.08,+1.75,Matches
415,Pedro,br BRA,FW,Flamengo,26-332,1997,6,450,75,83.3,5.0,5,81,4,1,45,0,1.83,6,5,+1,+0.20,-0.80,6.3,4.6,+1.7,+0.34,+0.93,Matches
416,João Pedro,br BRA,FW,Cruzeiro,21-105,2003,1,9,9,2.0,0.1,0,,0,1,9,0,3.00,0,0,0,0.00,-0.20,0.0,0.2,-0.2,-1.79,-1.73,Matches
417,João Pedro,br BRA,MF,Vasco da Gama,19-028,2005,1,17,17,3.1,0.2,0,,0,1,17,3,3.00,0,0,0,0.00,+0.86,0.3,0.1,+0.2,+1.17,+1.35,Matches
418,João Pedro,br BRA,DF,Corinthians,20-138,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
419,João Pedro,it ITA,FW,Grêmio,32-069,1992,4,207,52,57.5,2.3,2,72,0,2,32,0,1.50,4,0,+4,+1.74,+3.50,2.9,2.0,+0.9,+0.38,+1.17,Matches
420,João Pedro,br BRA,DF,Grêmio,27-184,1996,3,270,90,75.0,3.0,3,90,3,0,,1,1.00,2,3,-1,-0.33,-2.33,2.0,3.4,-1.4,-0.46,-1.40,Matches
421,Léo Pelé,br BRA,DF,Vasco da Gama,28-072,1996,6,540,90,100.0,6.0,6,90,6,0,,0,1.00,6,11,-5,-0.83,,8.0,8.9,-0.9,-0.15,,Matches
422,Carlos de Pena,uy URU,"MF,FW",Bahia,32-067,1992,6,76,13,14.1,0.8,0,,0,6,13,0,2.17,1,1,0,0.00,-0.58,1.6,0.4,+1.2,+1.38,+0.91,Matches
423,Léo Pereira,br BRA,DF,Flamengo,28-107,1996,6,526,88,97.4,5.8,6,88,5,0,,0,1.83,6,5,+1,+0.17,-6.26,6.2,5.9,+0.2,+0.04,-5.47,Matches
424,Matheus Pereira,pt POR,FW,Cruzeiro,28-012,1996,5,439,88,97.6,4.9,5,88,2,0,,0,2.00,7,6,+1,+0.21,+0.21,4.5,5.0,-0.5,-0.09,+0.37,Matches
425,Yago Pikachu,br BRA,"DF,FW",Fortaleza,31-347,1992,5,232,46,51.6,2.6,3,66,0,2,17,0,1.40,1,0,+1,+0.39,+0.39,1.8,2.8,-1.0,-0.38,-0.83,Matches
426,Joaquín Piquerez,uy URU,DF,Palmeiras,25-267,1998,5,432,86,80.0,4.8,5,86,4,0,,1,1.00,2,3,-1,-0.21,-1.04,6.3,3.4,+2.9,+0.60,+1.15,Matches
427,Rafael Pires,br BRA,GK,São Paulo,34-329,1989,6,540,90,100.0,6.0,6,90,6,0,,0,1.67,10,6,+4,+0.67,,8.4,3.6,+4.8,+0.81,,Matches
428,Lucas Piton,br BRA,DF,Vasco da Gama,23-221,2000,6,540,90,100.0,6.0,6,90,6,0,,0,1.00,6,11,-5,-0.83,,8.0,8.9,-0.9,-0.15,,Matches
429,Isidro Pitta,py PAR,FW,Cuiabá,24-277,1999,4,206,52,57.2,2.3,3,64,0,1,14,0,0.00,0,4,-4,-1.75,+1.76,1.4,2.4,-1.0,-0.43,+1.46,Matches
430,Tomas Pochettino,ar ARG,MF,Fortaleza,28-106,1996,4,323,81,71.8,3.6,4,81,1,0,,1,1.50,4,2,+2,+0.56,+1.27,2.4,3.2,-0.8,-0.22,-0.87,Matches
431,Mateo Ponte,uy URU,DF,Botafogo (RJ),20-359,2003,4,296,74,54.8,3.3,4,74,2,0,,2,1.75,6,4,+2,+0.61,-0.50,4.7,3.1,+1.7,+0.51,+0.75,Matches
432,Werik Popó,br BRA,FW,Juventude,22-213,2001,2,22,11,6.1,0.2,0,,0,2,11,1,2.00,0,0,0,0.00,+0.53,1.0,0.4,+0.6,+2.51,+3.27,Matches
433,Gustavo Prado,br BRA,"FW,MF",Internacional,18-346,2005,4,109,27,30.3,1.2,0,,0,4,27,0,1.75,1,1,0,0.00,-0.36,2.2,1.4,+0.9,+0.72,-0.12,Matches
434,Bruno Praxedes,br BRA,MF,Vasco da Gama,22-099,2002,1,24,24,4.4,0.3,0,,0,1,24,2,3.00,0,1,-1,-3.75,-3.05,0.6,1.4,-0.8,-2.90,-2.89,Matches
435,Erick Pulgar,cl CHI,MF,Flamengo,30-123,1994,4,315,79,58.3,3.5,4,79,3,0,,0,1.75,4,2,+2,+0.57,+0.57,3.3,2.9,+0.4,+0.11,-0.17,Matches
436,Du Queiroz,br BRA,MF,Grêmio,24-119,2000,4,227,57,63.1,2.5,3,73,1,1,8,0,1.50,2,3,-1,-0.40,-1.75,1.9,2.6,-0.7,-0.27,-0.41,Matches
437,Igor Rabello,br BRA,DF,Atlético Mineiro,29-019,1995,4,188,47,41.8,2.1,1,90,1,3,33,1,2.00,3,1,+2,+0.96,-0.42,2.6,1.2,+1.4,+0.66,+0.39,Matches
438,Zé Rafael,br BRA,MF,Palmeiras,30-336,1993,2,90,45,16.7,1.0,1,81,0,1,9,0,1.50,0,2,-2,-2.00,-2.40,1.4,1.0,+0.5,+0.47,+0.12,Matches
439,Railan,br BRA,DF,Cuiabá,24-068,2000,1,90,90,25.0,1.0,1,90,1,0,,3,0.00,0,4,-4,-4.00,-2.00,0.3,2.0,-1.6,-1.64,-0.78,Matches
440,Eric Ramires,br BRA,"MF,FW",Red Bull Bragantino,23-281,2000,6,316,53,58.5,3.5,3,66,0,3,40,0,1.50,6,3,+3,+0.85,+1.66,2.7,4.2,-1.5,-0.43,+0.65,Matches
441,Ramon,br BRA,DF,Cuiabá,23-065,2001,1,70,70,19.4,0.8,1,70,0,0,,1,0.00,0,1,-1,-1.29,+1.51,0.2,0.8,-0.6,-0.74,+0.39,Matches
442,Pedro Rangel,br BRA,GK,Atl Goianiense,23-323,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
443,Raniele,br BRA,"MF,DF",Corinthians,27-138,1996,5,395,79,73.1,4.4,5,79,2,0,,0,1.00,3,3,0,0.00,+1.24,5.1,3.2,+1.9,+0.43,+0.49,Matches
444,Rafael Ratão,br BRA,FW,Bahia,28-169,1995,3,37,12,6.9,0.4,0,,0,3,12,3,3.00,1,0,+1,+2.43,+2.07,1.3,0.2,+1.0,+2.52,+2.06,Matches
445,Raul,br BRA,MF,Red Bull Bragantino,27-311,1996,3,129,43,23.9,1.4,2,50,0,1,30,0,2.33,1,1,0,0.00,-0.22,1.2,1.8,-0.6,-0.41,+0.38,Matches
446,Pedro Raul,br BRA,FW,Corinthians,27-194,1996,4,154,39,28.5,1.7,1,90,1,3,21,2,0.50,0,2,-2,-1.17,-1.17,2.0,1.9,+0.2,+0.09,-0.29,Matches
447,Leonardo Realpe,ec ECU,DF,Red Bull Bragantino,23-081,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
448,Renan,br BRA,FW,Ath Paranaense,21-107,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
449,Robert Renan,br BRA,DF,Internacional,20-219,2003,2,103,52,28.6,1.1,1,90,1,1,13,1,1.50,0,1,-1,-0.87,-1.57,1.6,1.5,+0.1,+0.05,-1.06,Matches
450,Renê,br BRA,DF,Internacional,31-246,1992,4,360,90,100.0,4.0,4,90,4,0,,0,1.75,4,3,+1,+0.25,,6.5,3.3,+3.2,+0.80,,Matches
451,Rezende,br BRA,"MF,DF",Bahia,29-136,1995,6,197,33,36.5,2.2,1,90,1,5,21,0,2.17,4,3,+1,+0.46,-0.07,3.9,2.9,+1.0,+0.44,-0.25,Matches
452,Rhaldney,br BRA,MF,Atl Goianiense,25-179,1998,4,243,61,54.0,2.7,3,66,1,1,45,0,0.25,1,5,-4,-1.48,-0.61,1.4,3.9,-2.5,-0.91,-1.38,Matches
453,Rhyan,br BRA,GK,Cuiabá,18-135,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
454,Everton Ribeiro,br BRA,"MF,FW",Bahia,35-037,1989,6,416,69,77.0,4.6,6,69,0,0,,0,2.17,6,4,+2,+0.43,-0.29,5.4,4.3,+1.1,+0.25,-1.55,Matches
455,Wesley Ribeiro,br BRA,FW,Corinthians,19-073,2005,6,427,71,79.1,4.7,5,81,4,1,22,0,0.83,3,2,+1,+0.21,+2.60,6.0,3.9,+2.1,+0.44,+0.67,Matches
456,João Ricardo Riedi,br BRA,GK,Fortaleza,35-254,1988,5,450,90,100.0,5.0,5,90,5,0,,0,1.40,5,4,+1,+0.20,,4.4,4.2,+0.1,+0.02,,Matches
457,Rikelme,br BRA,DF,Cuiabá,20-306,2003,4,299,75,83.1,3.3,3,90,3,1,29,0,0.00,0,9,-9,-2.71,-1.23,2.1,5.7,-3.6,-1.09,-0.22,Matches
458,Rildo,br BRA,"MF,FW",Juventude,24-117,2000,2,36,18,10.0,0.4,0,,0,2,18,2,1.00,0,0,0,0.00,+0.56,1.0,0.2,+0.8,+1.96,+2.79,Matches
