Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG_2,npxG_2,npxG+xAG_2,Matches
1,Abner,br BRA,MF,Juventude,20-028,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Luiz Adriano,br BRA,FW,Vitória,37-035,1987,4,0,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,4,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches
3,Adson,br BRA,"FW,MF",Vasco da Gama,23-224,2000,5,0,104,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,5,6,16,0.00,0.00,0.00,0.00,0.00,0.16,0.19,0.35,0.16,0.35,Matches
4,Lucas Alario,ar ARG,"FW,MF",Internacional,31-222,1992,2,0,42,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches
5,Yuri Alberto,br BRA,FW,Corinthians,23-060,2001,4,2,213,2.4,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,3,2,17,0.00,0.00,0.00,0.00,0.00,0.35,0.03,0.38,0.35,0.38,Matches
6,Alerrandro,br BRA,FW,Vitória,24-126,2000,4,4,276,3.1,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.6,3,4,12,0.00,0.00,0.00,0.00,0.00,0.18,0.01,0.18,0.18,0.18,Matches
7,Caio Alexandre,br BRA,MF,Bahia,25-083,1999,6,6,442,4.9,1,0,1,1,0,0,1,0,0.1,0.1,0.5,0.6,3,36,2,0.20,0.00,0.20,0.20,0.20,0.03,0.09,0.12,0.03,0.12,Matches
8,Matheus Alexandre,br BRA,DF,Cuiabá,25-040,1999,3,3,270,3.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.3,1,9,10,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches
9,Alexsander,br BRA,MF,Fluminense,20-222,2003,3,1,145,1.6,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,7,8,3,0.00,0.62,0.62,0.00,0.62,0.06,0.26,0.33,0.06,0.33,Matches
10,Alisson,br BRA,GK,Criciúma,28-344,1995,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Alisson,br BRA,"DF,MF",Atlético Mineiro,18-239,2005,4,1,122,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,4,8,15,0.00,0.00,0.00,0.00,0.00,0.17,0.11,0.28,0.17,0.28,Matches
12,Alisson,br BRA,MF,São Paulo,30-327,1993,6,6,516,5.7,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,5,40,10,0.00,0.17,0.17,0.00,0.17,0.04,0.05,0.09,0.04,0.09,Matches
13,Allan,br BRA,MF,Flamengo,27-075,1997,5,4,346,3.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,2,13,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
14,Anderson,br BRA,GK,Cruzeiro,26-073,1998,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
15,Kervin Andrade,ve VEN,MF,Fortaleza,19-034,2005,1,1,70,0.8,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.3,0,3,6,1.29,0.00,1.29,1.29,1.29,0.14,0.26,0.41,0.14,0.41,Matches
16,Rodrigo Andrade,br BRA,"MF,FW",Vitória,26-348,1997,3,3,233,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,5,8,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
17,André,br BRA,"MF,DF",Fluminense,22-306,2001,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,20,6,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
18,Wilker Ángel,ve VEN,DF,Criciúma,31-060,1993,2,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Guilherme Arana,br BRA,DF,Atlético Mineiro,27-033,1997,5,3,372,4.1,1,1,2,1,0,0,1,0,0.1,0.1,0.3,0.4,10,25,34,0.24,0.24,0.48,0.24,0.48,0.03,0.08,0.11,0.03,0.11,Matches
20,Luiz Araújo,br BRA,"FW,MF",Flamengo,27-350,1996,6,3,360,4.0,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,12,12,33,0.25,0.00,0.25,0.25,0.25,0.14,0.03,0.17,0.14,0.17,Matches
21,Michel Araujo,uy URU,"DF,MF",São Paulo,27-232,1996,5,3,245,2.7,0,1,1,0,0,0,3,0,0.2,0.2,0.5,0.8,10,13,19,0.00,0.37,0.37,0.00,0.37,0.08,0.20,0.28,0.08,0.28,Matches
22,Robert Arboleda,ec ECU,DF,São Paulo,32-208,1991,6,6,540,6.0,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,1,15,0,0.17,0.00,0.17,0.17,0.17,0.08,0.07,0.15,0.08,0.15,Matches
23,Lucas Arcanjo,br BRA,GK,Vitória,25-283,1998,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
24,Jhon Arias,co COL,FW,Fluminense,26-239,1997,6,6,540,6.0,0,1,1,0,0,0,1,0,0.8,0.8,0.4,1.2,20,17,42,0.00,0.17,0.17,0.00,0.17,0.13,0.06,0.20,0.13,0.20,Matches
25,Santiago Arias,co COL,DF,Bahia,32-125,1992,6,6,540,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.8,0.9,12,23,38,0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.15,0.02,0.15,Matches
26,Arthur,br BRA,FW,Cruzeiro,25-319,1998,5,5,343,3.8,1,1,2,1,0,0,1,0,0.1,0.1,0.3,0.4,10,7,30,0.26,0.26,0.52,0.26,0.52,0.02,0.08,0.10,0.02,0.10,Matches
27,Arthur,br BRA,"FW,MF",Criciúma,31-337,1992,3,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,4,2,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.09,0.05,0.09,Matches
28,Filipe Augusto,br BRA,MF,Cuiabá,30-279,1993,1,0,14,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
29,Renato Augusto,br BRA,"FW,MF",Fluminense,36-099,1988,2,0,62,0.7,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,0,3,2,1.45,0.00,1.45,1.45,1.45,0.64,0.09,0.73,0.64,0.73,Matches
30,Gabriel Baralhas,br BRA,MF,Atl Goianiense,25-220,1998,4,4,323,3.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,19,7,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Matches
31,Danilo Barbosa,br BRA,MF,Botafogo (RJ),28-079,1996,6,4,319,3.5,3,0,3,3,0,0,2,0,0.9,0.9,0.0,0.9,4,12,3,0.85,0.00,0.85,0.85,0.85,0.26,0.00,0.26,0.26,0.26,Matches
32,Diogo Barbosa,br BRA,DF,Fluminense,31-274,1992,3,2,156,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,4,5,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
33,Gabriel Barbosa,br BRA,FW,Flamengo,27-261,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
34,Lucas Barbosa,br BRA,"MF,FW",Juventude,23-085,2001,4,4,294,3.3,1,1,2,1,0,0,1,0,1.3,1.3,0.2,1.5,6,17,21,0.31,0.31,0.61,0.31,0.61,0.38,0.07,0.45,0.38,0.45,Matches
35,Alexander Barboza,ar ARG,"DF,FW",Botafogo (RJ),29-062,1995,4,1,124,1.4,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,1,10,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
36,Mateo Barcia,uy URU,MF,Criciúma,23-088,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
37,Álvaro Barreal,ar ARG,"MF,FW",Cruzeiro,23-274,2000,5,1,196,2.2,0,2,2,0,0,0,0,0,0.4,0.4,0.1,0.6,2,8,21,0.00,0.92,0.92,0.00,0.92,0.20,0.07,0.26,0.20,0.26,Matches
38,Barreto,br BRA,MF,Criciúma,28-159,1995,3,3,258,2.9,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,11,3,0.00,0.35,0.35,0.00,0.35,0.00,0.05,0.05,0.00,0.05,Matches
39,Gabriel Barros,br BRA,"FW,MF",Atl Goianiense,22-205,2001,2,1,79,0.9,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
40,Bastos,ao ANG,DF,Botafogo (RJ),33-051,1991,6,6,486,5.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,21,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
41,Rodrigo Battaglia,ar ARG,DF,Atlético Mineiro,32-310,1991,3,3,216,2.4,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,José Luis Rodríguez Bebanz,uy URU,FW,Vasco da Gama,27-064,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Ramiro Benetti,br BRA,MF,Cruzeiro,30-361,1993,4,3,219,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Bento,br BRA,GK,Ath Paranaense,24-342,1999,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
45,Raul Bicalho,br BRA,DF,Corinthians,25-023,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Matheus Bidu,br BRA,DF,Corinthians,25-013,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
47,Biel,br BRA,"FW,MF",Bahia,23-046,2001,6,0,142,1.6,2,1,3,2,0,0,0,0,1.6,1.6,0.7,2.2,6,7,19,1.27,0.63,1.90,1.27,1.90,0.99,0.42,1.42,0.99,1.42,Matches
48,Guilherme Biro,br BRA,MF,Corinthians,20-027,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.81,0.00,0.81,0.81,0.81,Matches
49,Damián Bobadilla,py PAR,MF,São Paulo,22-311,2001,4,3,188,2.1,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,2,9,2,0.48,0.00,0.48,0.48,0.48,0.14,0.09,0.23,0.14,0.23,Matches
50,Yannick Bolasie,cd COD,FW,Criciúma,34-359,1989,3,2,170,1.9,1,2,3,1,0,0,1,0,0.4,0.4,0.2,0.6,8,3,18,0.53,1.06,1.59,0.53,1.59,0.20,0.11,0.30,0.20,0.30,Matches
51,Thiago Borbas,uy URU,FW,Red Bull Bragantino,22-040,2002,6,1,197,2.2,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.6,0,3,11,0.46,0.00,0.46,0.46,0.46,0.24,0.02,0.26,0.24,0.26,Matches
52,Marllon Borges,br BRA,DF,Cuiabá,32-031,1992,4,4,360,4.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,7,1,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
53,Pedro Borges,br BRA,MF,Fortaleza,27-075,1997,4,2,217,2.4,0,1,1,0,0,0,3,0,0.0,0.0,0.2,0.2,0,11,3,0.00,0.41,0.41,0.00,0.41,0.01,0.09,0.09,0.01,0.09,Matches
54,Rafael Borré,co COL,FW,Internacional,28-245,1995,4,4,360,4.0,1,1,2,1,0,1,1,0,3.9,3.1,0.3,3.4,3,4,26,0.25,0.25,0.50,0.25,0.50,0.96,0.08,1.05,0.77,0.85,Matches
55,Danilo Boza,br BRA,DF,Juventude,26-011,1998,3,3,270,3.0,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,2,7,2,0.33,0.00,0.33,0.33,0.33,0.06,0.04,0.10,0.06,0.10,Matches
56,Breno,br BRA,FW,Fortaleza,28-114,1996,3,3,193,2.1,0,2,2,0,0,0,1,0,0.7,0.7,0.1,0.8,7,8,12,0.00,0.93,0.93,0.00,0.93,0.31,0.04,0.36,0.31,0.36,Matches
57,Breno,br BRA,MF,Corinthians,19-087,2005,4,3,265,2.9,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,9,6,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.14,0.12,0.14,Matches
58,Emanuel Brítez,ar ARG,DF,Fortaleza,32-052,1992,4,4,360,4.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,1,5,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
59,Bruninho,br BRA,"FW,MF",Red Bull Bragantino,21-064,2003,2,1,79,0.9,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.2,0,4,7,0.00,1.14,1.14,0.00,1.14,0.18,0.08,0.26,0.18,0.26,Matches
60,Fabrício Bruno,br BRA,DF,Flamengo,28-095,1996,5,5,450,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,16,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
61,Fabricio Bustos,ar ARG,"DF,MF",Internacional,28-019,1996,4,3,285,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,2,16,23,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches
62,Rafael Cabral,br BRA,GK,Grêmio,33-363,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
63,Cacá,br BRA,DF,Corinthians,25-022,1999,3,3,254,2.8,1,0,1,1,0,0,0,0,1.1,1.1,0.0,1.1,1,4,0,0.35,0.00,0.35,0.35,0.35,0.40,0.00,0.40,0.40,0.40,Matches
64,Jonathan Cafu,br BRA,"MF,FW",Cuiabá,32-312,1991,3,1,103,1.1,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,3,4,9,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.49,0.49,0.49,Matches
65,Jonathan Calleri,ar ARG,FW,São Paulo,30-237,1993,5,5,397,4.4,1,0,1,1,0,0,1,0,1.1,1.1,0.0,1.1,2,4,20,0.23,0.00,0.23,0.23,0.23,0.25,0.01,0.25,0.25,0.25,Matches
66,Patric Calmon PK,br BRA,DF,Vitória,29-317,1994,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,6,12,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
67,Camutanga,br BRA,DF,Vitória,30-233,1993,2,2,179,2.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
68,Yerson Candelo,co COL,DF,Criciúma,32-083,1992,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,Matches
69,Luan Cândido,br BRA,DF,Red Bull Bragantino,23-105,2001,6,6,540,6.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,1,5,6,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
70,Germán Cano,ar ARG,"FW,MF",Fluminense,36-105,1988,5,5,410,4.6,2,0,2,2,0,0,1,0,2.5,2.5,0.2,2.7,1,6,9,0.44,0.00,0.44,0.44,0.44,0.54,0.05,0.59,0.54,0.59,Matches
71,Agustín Canobbio,uy URU,"FW,MF",Ath Paranaense,25-229,1998,5,4,297,3.3,2,1,3,2,0,0,2,1,0.5,0.5,0.8,1.3,11,16,26,0.61,0.30,0.91,0.61,0.91,0.15,0.26,0.41,0.15,0.41,Matches
72,Juninho Capixaba,br BRA,"DF,MF",Red Bull Bragantino,26-316,1997,5,5,338,3.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,14,5,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
73,Carlinhos,br BRA,"FW,DF",Flamengo,27-095,1997,2,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
74,Antonio Carlos,br BRA,DF,Fluminense,31-071,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
75,Jean Carlos Vicente,br BRA,"FW,MF",Juventude,32-092,1992,3,3,204,2.3,2,1,3,2,0,0,1,0,0.3,0.3,0.9,1.2,6,13,8,0.88,0.44,1.32,0.88,1.32,0.12,0.40,0.53,0.12,0.53,Matches
76,Cássio,br BRA,GK,Corinthians,36-346,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Iury de Castilho,br BRA,"FW,MF",Vitória,28-254,1995,3,0,74,0.8,1,0,1,1,0,0,1,0,1.2,1.2,0.0,1.2,5,8,8,1.22,0.00,1.22,1.22,1.22,1.43,0.03,1.46,1.43,1.46,Matches
78,Murilo Cerqueira,br BRA,DF,Palmeiras,27-051,1997,5,5,436,4.8,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,4,16,1,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
79,Reynaldo Cesar Moraes,br BRA,DF,Vitória,27-135,1997,2,1,168,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
80,Christian,br BRA,"FW,MF",Ath Paranaense,23-150,2000,2,1,107,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,5,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
81,Eliel Chrystian,br BRA,MF,Cuiabá,21-112,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,1,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42,Matches
82,Cicinho,bg BUL,MF,Bahia,35-143,1988,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
83,José Cifuentes,ec ECU,MF,Cruzeiro,25-066,1999,3,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,8,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
84,Claudinho,br BRA,DF,Criciúma,23-236,2000,3,3,242,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,4,8,9,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches
85,Clayson,br BRA,MF,Cuiabá,29-059,1995,4,3,179,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,8,10,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
86,Clayton,br BRA,FW,Vasco da Gama,25-127,1999,4,0,52,0.6,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,1,0,5,0.00,0.00,0.00,0.00,0.00,1.15,0.00,1.15,1.15,1.15,Matches
87,Mateus Cocão,br BRA,MF,Vasco da Gama,22-060,2002,6,4,284,3.2,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.4,3,20,6,0.32,0.00,0.32,0.32,0.32,0.11,0.00,0.11,0.11,0.11,Matches
88,Igor Coronado,br BRA,"MF,FW",Corinthians,31-273,1992,4,2,178,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,8,11,10,0.00,0.00,0.00,0.00,0.00,0.03,0.22,0.25,0.03,0.25,Matches
89,Diego Costa,es ESP,FW,Grêmio,35-223,1988,2,2,116,1.3,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,1,3,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
90,Douglas Costa,br BRA,FW,Fluminense,33-246,1990,5,1,164,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,7,9,16,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.17,0.03,0.17,Matches
91,Franco Cristaldo,ar ARG,MF,Grêmio,27-276,1996,4,3,277,3.1,2,0,2,2,0,0,0,0,0.4,0.4,0.3,0.7,5,22,15,0.65,0.00,0.65,0.65,0.65,0.13,0.10,0.22,0.13,0.22,Matches
