Rk;Player;Nation;Pos;Squad;Age;Born;90s;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;GCA_PassLive;GCA_PassDead;GCA_TO;GCA_Sh;GCA_Fld;GCA_Def;Matches;Curr_Date
1;Abner;br BRA;MF;Juventude;20-029;2004;0.1;1;11.25;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
2;Luiz Adriano;br BRA;FW;Vitória;37-036;1987;0.8;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
3;Adson;br BRA;FW,MF;Vasco da Gama;23-225;2000;1.2;8;6.92;8;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
4;Lucas Alario;ar ARG;FW,MF;Internacional;31-223;1992;0.5;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
5;Yuri Alberto;br BRA;FW;Corinthians;23-061;2001;2.4;9;3.80;5;0;0;1;2;1;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
6;Alerrandro;br BRA;FW;Vitória;24-127;2000;3.1;5;1.63;4;0;0;0;0;1;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
7;Caio Alexandre;br BRA;MF;Bahia;25-084;1999;4.9;9;1.83;9;0;0;0;0;0;1;0.20;1;0;0;0;0;0;Matches;2024-05-18
8;Matheus Alexandre;br BRA;DF;Cuiabá;25-041;1999;3.0;4;1.33;1;2;1;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
9;Alexsander;br BRA;MF;Fluminense;20-223;2003;1.6;5;3.10;4;0;1;0;0;0;1;0.62;1;0;0;0;0;0;Matches;2024-05-18
10;Alisson;br BRA;GK;Criciúma;28-345;1995;2.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
11;Alisson;br BRA;DF,MF;Atlético Mineiro;18-240;2005;1.4;7;5.16;2;4;1;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
12;Alisson;br BRA;MF;São Paulo;30-328;1993;5.7;21;3.66;17;0;2;0;1;1;2;0.35;1;0;1;0;0;0;Matches;2024-05-18
13;Allan;br BRA;MF;Flamengo;27-076;1997;3.8;4;1.04;4;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
14;Anderson;br BRA;GK;Cruzeiro;26-074;1998;5.0;1;0.20;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
15;Kervin Andrade;ve VEN;MF;Fortaleza;19-035;2005;0.8;5;6.43;4;1;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
16;Rodrigo Andrade;br BRA;MF,FW;Vitória;26-349;1997;2.6;4;1.55;3;0;0;0;0;1;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
17;André;br BRA;MF,DF;Fluminense;22-307;2001;3.0;7;2.33;7;0;0;0;0;0;1;0.33;1;0;0;0;0;0;Matches;2024-05-18
18;Wilker Ángel;ve VEN;DF;Criciúma;31-061;1993;0.8;1;1.30;1;0;0;0;0;0;1;1.30;1;0;0;0;0;0;Matches;2024-05-18
19;Guilherme Arana;br BRA;DF;Atlético Mineiro;27-034;1997;4.1;14;3.39;13;0;0;1;0;0;2;0.48;2;0;0;0;0;0;Matches;2024-05-18
20;Luiz Araújo;br BRA;FW,MF;Flamengo;27-351;1996;4.0;11;2.75;6;1;2;2;0;0;1;0.25;0;0;1;0;0;0;Matches;2024-05-18
21;Michel Araujo;uy URU;DF,MF;São Paulo;27-233;1996;2.7;13;4.78;7;2;4;0;0;0;1;0.37;1;0;0;0;0;0;Matches;2024-05-18
22;Robert Arboleda;ec ECU;DF;São Paulo;32-209;1991;6.0;5;0.83;3;0;0;1;0;1;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
23;Lucas Arcanjo;br BRA;GK;Vitória;25-284;1998;5.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
24;Jhon Arias;co COL;FW;Fluminense;26-240;1997;6.0;20;3.33;14;0;3;1;1;1;3;0.50;2;0;0;0;0;1;Matches;2024-05-18
25;Santiago Arias;co COL;DF;Bahia;32-126;1992;6.0;14;2.33;10;1;0;1;1;1;1;0.17;0;0;0;1;0;0;Matches;2024-05-18
26;Arthur;br BRA;FW;Cruzeiro;25-320;1998;3.8;11;2.89;8;0;0;1;2;0;3;0.79;2;0;0;1;0;0;Matches;2024-05-18
27;Arthur;br BRA;FW,MF;Criciúma;31-338;1992;1.0;3;3.00;2;0;0;1;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
28;Filipe Augusto;br BRA;MF;Cuiabá;30-280;1993;0.2;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
29;Renato Augusto;br BRA;FW,MF;Fluminense;36-100;1988;0.7;3;4.35;3;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
30;Gabriel Baralhas;br BRA;MF;Atl Goianiense;25-221;1998;3.6;9;2.51;7;1;0;1;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
31;Danilo Barbosa;br BRA;MF;Botafogo (RJ);28-080;1996;3.5;6;1.69;3;0;0;1;2;0;2;0.56;0;0;0;1;1;0;Matches;2024-05-18
32;Diogo Barbosa;br BRA;DF;Fluminense;31-275;1992;1.7;1;0.58;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
33;Gabriel Barbosa;br BRA;FW;Flamengo;27-262;1996;0.5;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
34;Lucas Barbosa;br BRA;MF,FW;Juventude;23-086;2001;3.3;8;2.45;7;0;0;1;0;0;1;0.31;1;0;0;0;0;0;Matches;2024-05-18
35;Alexander Barboza;ar ARG;DF,FW;Botafogo (RJ);29-063;1995;1.4;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
36;Mateo Barcia;uy URU;MF;Criciúma;23-089;2001;0.1;1;7.50;0;0;1;0;0;0;1;7.50;0;0;1;0;0;0;Matches;2024-05-18
37;Álvaro Barreal;ar ARG;MF,FW;Cruzeiro;23-275;2000;2.2;7;3.21;7;0;0;0;0;0;2;0.92;2;0;0;0;0;0;Matches;2024-05-18
38;Barreto;br BRA;MF;Criciúma;28-160;1995;2.9;3;1.05;3;0;0;0;0;0;2;0.70;2;0;0;0;0;0;Matches;2024-05-18
39;Gabriel Barros;br BRA;FW,MF;Atl Goianiense;22-206;2001;0.9;1;1.14;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
40;Bastos;ao ANG;DF;Botafogo (RJ);33-052;1991;5.4;2;0.37;2;0;0;0;0;0;1;0.19;1;0;0;0;0;0;Matches;2024-05-18
41;Rodrigo Battaglia;ar ARG;DF;Atlético Mineiro;32-311;1991;2.4;1;0.42;1;0;0;0;0;0;1;0.42;1;0;0;0;0;0;Matches;2024-05-18
42;José Luis Rodríguez Bebanz;uy URU;FW;Vasco da Gama;27-065;1997;0.0;1;90.00;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
43;Ramiro Benetti;br BRA;MF;Cruzeiro;30-362;1993;2.4;3;1.23;3;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
44;Bento;br BRA;GK;Ath Paranaense;24-343;1999;6.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
45;Raul Bicalho;br BRA;DF;Corinthians;25-024;1999;1.0;1;1.00;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
46;Matheus Bidu;br BRA;DF;Corinthians;25-014;1999;0.2;1;5.00;0;1;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
47;Biel;br BRA;FW,MF;Bahia;23-047;2001;1.6;8;5.11;7;0;0;0;1;0;1;0.64;1;0;0;0;0;0;Matches;2024-05-18
48;Guilherme Biro;br BRA;MF;Corinthians;20-028;2004;0.1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
49;Damián Bobadilla;py PAR;MF;São Paulo;22-312;2001;2.1;8;3.83;7;1;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
50;Yannick Bolasie;cd COD;FW;Criciúma;34-360;1989;1.9;9;4.76;4;0;3;0;2;0;3;1.59;2;0;1;0;0;0;Matches;2024-05-18
51;Thiago Borbas;uy URU;FW;Red Bull Bragantino;22-041;2002;2.2;5;2.28;3;0;0;2;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
52;Marllon Borges;br BRA;DF;Cuiabá;32-032;1992;4.0;2;0.50;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
53;Pedro Borges;br BRA;MF;Fortaleza;27-076;1997;2.4;6;2.49;4;0;0;1;0;1;2;0.83;2;0;0;0;0;0;Matches;2024-05-18
54;Rafael Borré;co COL;FW;Internacional;28-246;1995;4.0;9;2.25;5;1;0;3;0;0;1;0.25;1;0;0;0;0;0;Matches;2024-05-18
55;Danilo Boza;br BRA;DF;Juventude;26-012;1998;3.0;6;2.00;4;1;0;1;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
56;Breno;br BRA;FW;Fortaleza;28-115;1996;2.1;8;3.73;4;0;2;1;1;0;3;1.40;2;0;1;0;0;0;Matches;2024-05-18
57;Breno;br BRA;MF;Corinthians;19-088;2005;2.9;6;2.04;4;1;0;1;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
58;Emanuel Brítez;ar ARG;DF;Fortaleza;32-053;1992;4.0;1;0.25;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
59;Bruninho;br BRA;FW,MF;Red Bull Bragantino;21-065;2003;0.9;5;5.70;4;0;1;0;0;0;1;1.14;1;0;0;0;0;0;Matches;2024-05-18
60;Fabrício Bruno;br BRA;DF;Flamengo;28-096;1996;5.0;2;0.40;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
61;Fabricio Bustos;ar ARG;DF,MF;Internacional;28-020;1996;3.2;9;2.84;8;1;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
62;Rafael Cabral;br BRA;GK;Grêmio;33-364;1990;1.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
63;Cacá;br BRA;DF;Corinthians;25-023;1999;2.8;3;1.06;2;0;0;1;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
64;Jonathan Cafu;br BRA;MF,FW;Cuiabá;32-313;1991;1.1;1;0.88;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
65;Jonathan Calleri;ar ARG;FW;São Paulo;30-238;1993;4.4;3;0.68;1;0;0;2;0;0;1;0.23;0;0;0;1;0;0;Matches;2024-05-18
66;Patric Calmon PK;br BRA;DF;Vitória;29-318;1994;1.5;1;0.67;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
67;Camutanga;br BRA;DF;Vitória;30-234;1993;2.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
68;Yerson Candelo;co COL;DF;Criciúma;32-084;1992;0.3;2;6.43;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
69;Luan Cândido;br BRA;DF;Red Bull Bragantino;23-106;2001;6.0;9;1.50;7;0;0;2;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
70;Germán Cano;ar ARG;FW,MF;Fluminense;36-106;1988;4.6;5;1.10;4;0;0;1;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
71;Agustín Canobbio;uy URU;FW,MF;Ath Paranaense;25-230;1998;3.3;14;4.24;10;0;1;1;2;0;2;0.61;1;0;1;0;0;0;Matches;2024-05-18
72;Juninho Capixaba;br BRA;DF,MF;Red Bull Bragantino;26-317;1997;3.8;7;1.86;5;0;0;0;2;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
73;Carlinhos;br BRA;FW,DF;Flamengo;27-096;1997;0.7;1;1.53;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
74;Antonio Carlos;br BRA;DF;Fluminense;31-072;1993;1.5;1;0.67;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
75;Jean Carlos Vicente;br BRA;FW,MF;Juventude;32-093;1992;2.3;10;4.41;7;1;0;0;0;2;3;1.32;1;0;0;0;0;2;Matches;2024-05-18
76;Cássio;br BRA;GK;Corinthians;36-347;1987;3.0;1;0.33;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
77;Iury de Castilho;br BRA;FW,MF;Vitória;28-255;1995;0.8;2;2.43;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
78;Murilo Cerqueira;br BRA;DF;Palmeiras;27-052;1997;4.8;2;0.41;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
79;Reynaldo Cesar Moraes;br BRA;DF;Vitória;27-136;1997;1.9;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
80;Christian;br BRA;FW,MF;Ath Paranaense;23-151;2000;1.2;2;1.68;1;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
81;Eliel Chrystian;br BRA;MF;Cuiabá;21-113;2003;0.5;1;2.00;0;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
82;Cicinho;bg BUL;MF;Bahia;35-144;1988;0.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
83;José Cifuentes;ec ECU;MF;Cruzeiro;25-067;1999;0.8;1;1.30;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
84;Claudinho;br BRA;DF;Criciúma;23-237;2000;2.7;8;2.98;5;3;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
85;Clayson;br BRA;MF;Cuiabá;29-060;1995;2.0;1;0.50;0;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
86;Clayton;br BRA;FW;Vasco da Gama;25-128;1999;0.6;1;1.73;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
87;Mateus Cocão;br BRA;MF;Vasco da Gama;22-061;2002;3.2;10;3.17;7;0;1;1;0;1;1;0.32;1;0;0;0;0;0;Matches;2024-05-18
88;Igor Coronado;br BRA;MF,FW;Corinthians;31-274;1992;2.0;12;6.07;9;3;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
89;Diego Costa;es ESP;FW;Grêmio;35-224;1988;1.3;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
90;Douglas Costa;br BRA;FW;Fluminense;33-247;1990;1.8;15;8.23;13;1;0;1;0;0;1;0.55;1;0;0;0;0;0;Matches;2024-05-18
91;Franco Cristaldo;ar ARG;MF;Grêmio;27-277;1996;3.1;18;5.85;11;6;0;0;1;0;1;0.32;0;1;0;0;0;0;Matches;2024-05-18
92;Alejo Cruz;uy URU;MF;Atl Goianiense;23-260;2000;1.7;5;2.94;4;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
93;Tomás Cuello;ar ARG;FW,MF;Ath Paranaense;24-074;2000;3.8;18;4.72;13;0;1;2;2;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
94;Víctor Cuesta;ar ARG;DF;Bahia;35-181;1988;2.7;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
95;Cuiabano;br BRA;DF;Grêmio;21-092;2003;1.8;2;1.10;1;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
96;Cuiabano;br BRA;DF;Botafogo (RJ);21-092;2003;1.5;2;1.33;1;0;0;1;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
97;Lucas Cunha;br BRA;DF;Red Bull Bragantino;27-116;1997;0.3;1;3.10;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
98;Danielzinho;br BRA;MF;Atl Goianiense;28-128;1996;0.2;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
99;David;br BRA;FW;Vasco da Gama;28-214;1995;5.7;16;2.80;11;1;3;0;1;0;3;0.53;2;0;1;0;0;0;Matches;2024-05-18
100;Giorgian De Arrascaeta;uy URU;MF;Flamengo;29-352;1994;2.8;8;2.89;6;1;1;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
101;Nicolás De La Cruz;uy URU;MF;Flamengo;26-352;1997;5.0;32;6.41;23;4;1;1;3;0;2;0.40;2;0;0;0;0;0;Matches;2024-05-18
102;Denilson;br BRA;MF;Cuiabá;23-056;2001;2.5;7;2.80;4;3;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
103;Derek;br BRA;FW;Atl Goianiense;26-168;1997;1.5;6;4.09;5;0;1;0;0;0;1;0.68;0;0;1;0;0;0;Matches;2024-05-18
104;Deyverson;br BRA;FW;Cuiabá;33-010;1991;0.8;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
105;Matheus Dias;br BRA;DF;Internacional;27-101;1997;0.1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
106;Diego;br BRA;DF;São Paulo;24-302;1999;5.0;9;1.80;9;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
107;Dodi;br BRA;MF;Grêmio;28-031;1996;2.0;1;0.50;1;0;0;0;0;0;1;0.50;1;0;0;0;0;0;Matches;2024-05-18
108;Dudu;br BRA;MF;Vitória;24-348;1999;2.3;6;2.56;6;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
109;Edenílson;br BRA;FW;Grêmio;34-152;1989;0.5;1;2.00;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
110;Éder;it ITA;FW;Criciúma;37-185;1986;1.0;1;1.02;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
111;Carlos Eduardo;br BRA;FW;Atlético Mineiro;19-360;2004;0.1;3;22.50;1;1;0;1;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
112;Carlos Eduardo;br BRA;FW;Botafogo (RJ);34-214;1989;1.0;1;1.02;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
113;Kauã Elias;br BRA;MF,FW;Fluminense;18-051;2006;1.0;1;0.97;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
114;Rafael Elias;br BRA;FW;Cruzeiro;25-036;1999;1.1;3;2.62;2;0;0;1;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
115;Eliédson;br BRA;MF;Criciúma;21-062;2003;0.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
116;Rodrigo Ely;br BRA;DF;Grêmio;30-197;1993;3.0;1;0.33;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
117;Alan Empereur;br BRA;DF;Cuiabá;30-069;1994;2.9;2;0.69;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
118;Endrick;br BRA;FW,MF;Palmeiras;17-302;2006;5.0;17;3.38;8;0;1;3;4;1;1;0.20;1;0;0;0;0;0;Matches;2024-05-18
119;Erick;br BRA;MF;Ath Paranaense;26-186;1997;5.9;11;1.86;10;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
120;Erick;br BRA;DF,MF;São Paulo;26-160;1997;1.4;10;7.20;8;2;0;0;0;0;2;1.44;2;0;0;0;0;0;Matches;2024-05-18
121;Erick;br BRA;FW;Juventude;27-136;1997;3.1;5;1.63;5;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
122;Lucas Esquivel;ar ARG;DF;Ath Paranaense;22-217;2001;5.7;16;2.79;12;1;1;0;2;0;4;0.70;2;0;0;0;2;0;Matches;2024-05-18
123;Estevão;br BRA;FW,DF;Palmeiras;18-024;2006;2.8;13;4.62;4;2;4;1;2;0;2;0.71;0;0;1;0;1;0;Matches;2024-05-18
124;Lucas Esteves;br BRA;DF;Vitória;23-329;2000;3.4;9;2.61;6;1;0;1;1;0;1;0.29;0;0;0;1;0;0;Matches;2024-05-18
125;Oscar Estupiñan;co COL;FW;Bahia;27-141;1996;0.6;2;3.33;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
126;Lucas Evangelista;br BRA;MF;Red Bull Bragantino;29-012;1995;0.8;3;3.70;2;1;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
127;Éverson;br BRA;GK;Atlético Mineiro;33-301;1990;5.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
128;Everton;br BRA;FW;Grêmio;27-062;1997;0.4;1;2.37;0;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
129;Bruno Fabiano Alves;br BRA;DF;Cuiabá;33-032;1991;2.2;1;0.45;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
130;Fabinho;br BRA;MF;Palmeiras;22-039;2002;0.4;1;2.65;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
131;Fábio;br BRA;GK;Fluminense;43-231;1980;6.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
132;Fábio;br BRA;DF;Grêmio;33-314;1990;2.3;5;2.20;4;1;0;0;0;0;1;0.44;0;1;0;0;0;0;Matches;2024-05-18
133;Fagner;br BRA;DF,MF;Corinthians;34-342;1989;4.3;10;2.34;7;3;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
134;Rodrigo Fagundes;br BRA;DF;Criciúma;37-069;1987;3.0;2;0.67;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
135;Luiz Felipe;br BRA;DF,MF;Atl Goianiense;30-252;1993;2.1;3;1.45;2;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
136;Marcos Felipe;br BRA;GK;Bahia;28-035;1996;6.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
137;Lucas Fernandes;br BRA;MF;Cuiabá;26-241;1997;1.5;5;3.26;3;2;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
138;Matheus Fernandes;br BRA;MF;Red Bull Bragantino;25-323;1998;0.4;1;2.65;0;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
139;Nathan Fernandes;br BRA;FW,MF;Grêmio;19-092;2005;1.3;2;1.58;1;0;1;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
140;Gatito Fernández;py PAR;GK;Botafogo (RJ);36-050;1988;3.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
141;Fernandinho;br BRA;MF;Ath Paranaense;39-014;1985;5.7;31;5.45;24;5;0;0;1;1;3;0.53;3;0;0;0;0;0;Matches;2024-05-18
142;Fernando;br BRA;DF;Ath Paranaense;24-247;1999;0.2;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
143;Fernando;br BRA;MF,DF;Internacional;36-298;1987;1.1;3;2.67;3;0;0;0;0;0;1;0.89;1;0;0;0;0;0;Matches;2024-05-18
144;Luiz Fernando;br BRA;FW,MF;Atl Goianiense;27-215;1996;4.9;11;2.24;8;0;1;0;2;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
145;Nahuel Ferraresi;ve VEN;DF;São Paulo;25-181;1998;1.8;4;2.28;2;1;1;0;0;0;1;0.57;0;0;1;0;0;0;Matches;2024-05-18
146;Ferreira;br BRA;MF,FW;São Paulo;26-139;1997;1.2;5;4.25;3;1;0;1;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
147;Filipinho;br BRA;MF,FW;Ath Paranaense;22-213;2001;0.6;1;1.67;0;0;0;0;1;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
148;Alan Franco;ec ECU;MF;Atlético Mineiro;25-271;1998;4.0;13;3.28;12;0;0;1;0;0;1;0.25;1;0;0;0;0;0;Matches;2024-05-18
149;Alan Franco;ar ARG;DF;São Paulo;27-220;1996;3.5;5;1.42;5;0;0;0;0;0;1;0.28;1;0;0;0;0;0;Matches;2024-05-18
150;Lucas Freitas;br BRA;DF;Juventude;23-119;2001;0.4;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
151;Marlon Freitas;br BRA;MF;Botafogo (RJ);29-052;1995;3.5;9;2.54;8;0;0;1;0;0;1;0.28;0;0;0;1;0;0;Matches;2024-05-18
152;Bruno Fuchs;br BRA;DF;Atlético Mineiro;25-047;1999;0.9;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;Matches;2024-05-18
