Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Curr_Date
116,Rodrigo Ely,br BRA,DF,Grêmio,30-197,1993,3.0,197,31,81,115,1,1,197,1,0,0.0,1,100.0,91,422,211,0,0,0,0,0,132,0,Matches,2024-05-18
117,Alan Empereur,br BRA,DF,Cuiabá,30-069,1994,2.9,175,23,102,71,3,0,175,0,0,,0,,115,578,340,1,2,0,1,0,132,2,Matches,2024-05-18
118,Endrick,br BRA,"FW,MF",Palmeiras,17-302,2006,5.0,173,1,10,86,84,13,173,22,9,40.9,11,50.0,120,813,368,11,13,3,14,8,128,29,Matches,2024-05-18
119,Erick,br BRA,MF,Ath Paranaense,26-186,1997,5.9,342,15,64,235,49,11,342,4,4,100.0,0,0.0,193,965,462,7,4,2,6,8,229,8,Matches,2024-05-18
120,Erick,br BRA,"DF,MF",São Paulo,26-160,1997,1.4,82,1,8,29,46,3,82,11,3,27.3,8,72.7,52,343,129,4,3,0,3,4,56,16,Matches,2024-05-18
121,Erick,br BRA,FW,Juventude,27-136,1997,3.1,76,2,5,30,41,5,76,5,2,40.0,2,40.0,34,189,67,3,0,0,2,1,52,23,Matches,2024-05-18
122,Lucas Esquivel,ar ARG,DF,Ath Paranaense,22-217,2001,5.7,369,21,113,162,95,6,369,14,7,50.0,5,35.7,213,1083,512,8,6,0,4,5,226,22,Matches,2024-05-18
123,Estevão,br BRA,"FW,DF",Palmeiras,18-024,2006,2.8,119,0,12,51,61,10,118,19,9,47.4,9,47.4,78,590,341,9,5,4,8,10,76,27,Matches,2024-05-18
124,Lucas Esteves,br BRA,DF,Vitória,23-329,2000,3.4,211,17,71,101,40,4,211,3,1,33.3,2,66.7,98,401,222,6,2,1,1,2,127,11,Matches,2024-05-18
125,Oscar Estupiñan,co COL,FW,Bahia,27-141,1996,0.6,17,1,1,10,6,1,17,1,0,0.0,1,100.0,6,34,3,0,1,0,2,1,12,2,Matches,2024-05-18
126,Lucas Evangelista,br BRA,MF,Red Bull Bragantino,29-012,1995,0.8,41,1,5,23,13,3,41,0,0,,0,,15,79,48,1,1,0,2,0,24,0,Matches,2024-05-18
127,Éverson,br BRA,GK,Atlético Mineiro,33-301,1990,5.0,170,146,168,2,0,0,170,0,0,,0,,96,397,192,0,0,0,0,0,106,0,Matches,2024-05-18
128,Everton,br BRA,FW,Grêmio,27-062,1997,0.4,16,0,2,11,4,0,16,0,0,,0,,10,59,45,2,0,0,2,0,12,3,Matches,2024-05-18
129,Bruno Fabiano Alves,br BRA,DF,Cuiabá,33-032,1991,2.2,104,12,48,52,4,3,104,0,0,,0,,48,219,127,0,1,0,1,0,76,1,Matches,2024-05-18
130,Fabinho,br BRA,MF,Palmeiras,22-039,2002,0.4,32,3,6,18,8,1,32,0,0,,0,,18,69,38,0,0,0,0,1,20,2,Matches,2024-05-18
131,Fábio,br BRA,GK,Fluminense,43-231,1980,6.0,197,177,197,0,0,0,197,0,0,,0,,93,410,165,0,0,0,1,0,80,0,Matches,2024-05-18
132,Fábio,br BRA,DF,Grêmio,33-314,1990,2.3,133,5,28,77,31,1,133,3,3,100.0,0,0.0,51,352,219,4,3,0,2,1,81,6,Matches,2024-05-18
133,Fagner,br BRA,"DF,MF",Corinthians,34-342,1989,4.3,241,8,64,123,55,0,241,3,2,66.7,1,33.3,108,482,328,5,3,0,1,0,138,9,Matches,2024-05-18
134,Rodrigo Fagundes,br BRA,DF,Criciúma,37-069,1987,3.0,187,36,116,68,3,1,187,1,1,100.0,0,0.0,97,430,234,0,1,0,0,0,106,0,Matches,2024-05-18
135,Luiz Felipe,br BRA,"DF,MF",Atl Goianiense,30-252,1993,2.1,96,12,41,52,3,2,96,0,0,,0,,49,199,108,0,0,0,1,0,55,0,Matches,2024-05-18
136,Marcos Felipe,br BRA,GK,Bahia,28-035,1996,6.0,249,187,248,1,0,0,249,0,0,,0,,151,647,429,0,0,0,0,0,129,0,Matches,2024-05-18
137,Lucas Fernandes,br BRA,MF,Cuiabá,26-241,1997,1.5,101,0,15,62,25,1,101,2,1,50.0,1,50.0,64,377,106,2,2,1,2,5,81,5,Matches,2024-05-18
138,Matheus Fernandes,br BRA,MF,Red Bull Bragantino,25-323,1998,0.4,22,0,1,20,1,0,22,0,0,,0,,12,60,29,0,0,0,0,1,12,0,Matches,2024-05-18
139,Nathan Fernandes,br BRA,"FW,MF",Grêmio,19-092,2005,1.3,64,1,6,23,37,5,64,9,5,55.6,4,44.4,35,373,142,6,6,4,4,6,47,16,Matches,2024-05-18
140,Gatito Fernández,py PAR,GK,Botafogo (RJ),36-050,1988,3.0,101,85,101,0,0,0,101,0,0,,0,,51,222,135,0,0,0,0,0,55,0,Matches,2024-05-18
141,Fernandinho,br BRA,MF,Ath Paranaense,39-014,1985,5.7,386,6,51,236,106,5,386,9,3,33.3,3,33.3,234,1129,637,10,17,0,8,6,280,18,Matches,2024-05-18
142,Fernando,br BRA,DF,Ath Paranaense,24-247,1999,0.2,7,1,3,4,0,0,7,0,0,,0,,1,1,1,0,0,0,0,0,1,0,Matches,2024-05-18
143,Fernando,br BRA,"MF,DF",Internacional,36-298,1987,1.1,103,5,32,61,11,2,103,0,0,,0,,57,333,204,3,2,0,2,0,65,2,Matches,2024-05-18
144,Luiz Fernando,br BRA,"FW,MF",Atl Goianiense,27-215,1996,4.9,163,9,35,69,64,8,163,11,4,36.4,7,63.6,104,841,436,13,10,2,9,7,111,35,Matches,2024-05-18
145,Nahuel Ferraresi,ve VEN,DF,São Paulo,25-181,1998,1.8,165,11,62,90,14,4,165,2,1,50.0,1,50.0,97,364,188,1,2,0,1,0,114,2,Matches,2024-05-18
146,Ferreira,br BRA,"MF,FW",São Paulo,26-139,1997,1.2,59,0,5,29,27,10,59,1,0,0.0,1,100.0,39,282,187,9,6,5,2,0,46,9,Matches,2024-05-18
147,Filipinho,br BRA,"MF,FW",Ath Paranaense,22-213,2001,0.6,30,1,3,18,9,0,30,2,1,50.0,0,0.0,14,69,29,0,0,0,0,2,18,1,Matches,2024-05-18
148,Alan Franco,ec ECU,MF,Atlético Mineiro,25-271,1998,4.0,214,6,39,109,67,5,214,1,1,100.0,0,0.0,110,364,138,2,4,1,5,2,140,17,Matches,2024-05-18
149,Alan Franco,ar ARG,DF,São Paulo,27-220,1996,3.5,266,19,114,142,13,3,266,1,1,100.0,0,0.0,173,744,366,4,4,0,1,0,199,0,Matches,2024-05-18
150,Lucas Freitas,br BRA,DF,Juventude,23-119,2001,0.4,19,5,15,4,0,0,19,0,0,,0,,8,70,15,0,0,0,1,0,12,0,Matches,2024-05-18
151,Marlon Freitas,br BRA,MF,Botafogo (RJ),29-052,1995,3.5,287,12,66,187,34,0,287,0,0,,0,,176,855,469,5,4,0,0,1,216,4,Matches,2024-05-18
152,Bruno Fuchs,br BRA,DF,Atlético Mineiro,25-047,1999,0.9,77,5,27,46,5,0,77,0,0,,0,,58,279,149,0,0,0,1,1,58,0,Matches,2024-05-18
153,Gabriel,br BRA,DF,Bahia,23-012,2001,5.0,354,47,190,157,8,5,354,0,0,,0,,191,734,448,0,0,0,0,2,233,1,Matches,2024-05-18
154,Gabriel,br BRA,GK,Juventude,31-234,1992,4.0,139,125,139,0,0,0,139,0,0,,0,,79,262,151,0,0,0,0,0,64,0,Matches,2024-05-18
155,Marquinhos Gabriel,br BRA,MF,Criciúma,33-302,1990,2.6,129,3,28,63,40,3,129,12,7,58.3,5,41.7,84,338,84,2,2,1,8,11,93,12,Matches,2024-05-18
156,Zé Gabriel,br BRA,MF,Vasco da Gama,25-118,1999,0.7,58,3,14,42,5,1,58,3,1,33.3,2,66.7,32,162,68,1,3,0,1,1,34,0,Matches,2024-05-18
157,Pablo Galdames Millán,cl CHI,MF,Vasco da Gama,27-140,1996,4.6,279,5,55,160,68,5,279,1,0,0.0,1,100.0,139,677,320,5,5,0,1,3,202,10,Matches,2024-05-18
158,Giuliano Galoppo,ar ARG,MF,São Paulo,24-335,1999,1.7,94,1,7,38,49,14,94,3,1,33.3,2,66.7,56,348,147,7,4,3,5,1,70,12,Matches,2024-05-18
159,Léo Gamalho,br BRA,FW,Vitória,38-109,1986,0.2,10,0,0,7,3,0,10,0,0,,0,,7,31,20,1,0,0,0,0,8,1,Matches,2024-05-18
160,Mateo Gamarra,py PAR,DF,Ath Paranaense,23-211,2000,3.0,149,18,70,69,11,5,149,1,1,100.0,0,0.0,75,439,268,3,0,1,0,2,79,0,Matches,2024-05-18
161,Ganso,br BRA,MF,Fluminense,34-219,1989,4.0,273,2,64,145,69,1,273,2,2,100.0,0,0.0,139,475,281,4,4,0,7,1,211,5,Matches,2024-05-18
162,Luan Garcia,br BRA,DF,Palmeiras,31-008,1993,2.6,105,13,54,50,1,0,105,2,1,50.0,1,50.0,59,467,279,1,1,0,1,0,70,0,Matches,2024-05-18
163,Rodrigo Garro,ar ARG,MF,Corinthians,26-135,1998,5.7,376,2,44,214,123,10,376,10,4,40.0,5,50.0,202,900,423,9,7,1,6,11,246,18,Matches,2024-05-18
164,Pedro Geromel,br BRA,DF,Grêmio,38-240,1985,1.0,67,11,42,25,0,0,67,0,0,,0,,26,77,37,0,0,0,1,0,37,0,Matches,2024-05-18
165,Gerson,br BRA,"FW,MF",Flamengo,26-364,1997,3.0,197,5,27,87,84,18,197,11,4,36.4,4,36.4,117,593,262,7,2,6,3,2,144,29,Matches,2024-05-18
166,Gilberto,br BRA,FW,Juventude,34-348,1989,0.2,5,0,0,3,2,1,5,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches,2024-05-18
167,Luciano Giménez,ar ARG,FW,Cuiabá,24-090,2000,0.6,14,1,2,8,4,1,14,1,1,100.0,0,0.0,8,25,0,0,0,0,2,0,9,2,Matches,2024-05-18
168,Giovane,br BRA,DF,Corinthians,20-176,2003,0.1,6,0,0,3,3,0,6,1,1,100.0,0,0.0,6,64,22,0,0,0,1,1,6,1,Matches,2024-05-18
169,Leonardo Godoy,ar ARG,DF,Ath Paranaense,29-020,1995,4.5,240,6,56,93,92,9,240,5,2,40.0,3,60.0,130,461,261,6,6,2,2,3,153,29,Matches,2024-05-18
170,Bruno Gomes,br BRA,MF,Internacional,23-044,2001,0.6,61,0,9,30,22,1,61,2,1,50.0,0,0.0,37,180,105,3,0,0,0,2,42,2,Matches,2024-05-18
171,Igor Gomes,br BRA,MF,Atlético Mineiro,25-062,1999,2.2,151,1,23,77,53,8,151,9,4,44.4,4,44.4,89,448,251,5,3,1,2,1,116,15,Matches,2024-05-18
172,Igor Gomes,br BRA,DF,Internacional,23-073,2001,0.0,2,2,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,2024-05-18
173,William Gomes,br BRA,DF,São Paulo,18-064,2006,0.3,23,0,4,9,12,3,23,1,1,100.0,0,0.0,12,113,87,5,1,1,2,0,12,3,Matches,2024-05-18
174,Gustavo Gómez,py PAR,DF,Palmeiras,31-012,1993,5.0,284,21,119,149,17,13,284,0,0,,0,,156,975,608,1,0,0,1,0,177,2,Matches,2024-05-18
175,Mateus Gonçalves Martins,br BRA,"MF,FW",Vitória,29-233,1994,2.3,78,1,9,43,29,3,78,6,4,66.7,2,33.3,56,479,221,6,4,2,4,7,59,15,Matches,2024-05-18
176,Yony González,co COL,"MF,FW",Atl Goianiense,29-312,1994,1.1,37,2,11,9,17,2,37,2,1,50.0,1,50.0,24,141,64,1,3,0,3,1,26,11,Matches,2024-05-18
177,Gregore,br BRA,MF,Botafogo (RJ),30-077,1994,3.2,225,19,67,151,8,0,225,1,1,100.0,0,0.0,143,622,282,1,3,0,2,7,143,3,Matches,2024-05-18
178,Guga,br BRA,DF,Fluminense,25-263,1998,0.6,50,7,27,19,5,0,50,1,1,100.0,0,0.0,18,107,59,3,0,0,0,0,27,1,Matches,2024-05-18
179,Guilherme,br BRA,DF,Red Bull Bragantino,22-094,2002,1.2,64,8,23,30,12,0,64,0,0,,0,,24,155,70,1,1,0,0,1,26,0,Matches,2024-05-18
180,Luis Guilherme,br BRA,"FW,DF",Palmeiras,18-099,2006,1.5,78,1,5,28,45,5,78,8,6,75.0,2,25.0,55,528,293,10,9,3,3,1,65,15,Matches,2024-05-18
181,Zé Guilherme,br BRA,DF,Grêmio,19-063,2005,0.9,91,1,20,55,16,1,91,5,2,40.0,3,60.0,28,181,79,2,0,1,3,2,51,7,Matches,2024-05-18
182,Gustavinho,br BRA,MF,Red Bull Bragantino,20-025,2004,4.3,193,3,25,88,85,4,193,16,9,56.3,7,43.8,86,453,153,3,4,0,9,6,102,7,Matches,2024-05-18
183,Gustavo,br BRA,GK,Criciúma,31-069,1993,1.0,33,30,33,0,0,0,33,0,0,,0,,7,47,33,0,0,0,0,0,10,0,Matches,2024-05-18
184,Lucas Halter,br BRA,DF,Botafogo (RJ),24-016,2000,4.8,303,50,151,148,5,4,303,0,0,,0,,176,629,343,0,1,0,2,0,230,0,Matches,2024-05-18
185,Thiago Heleno,br BRA,DF,Ath Paranaense,35-244,1988,3.0,183,31,94,86,3,1,183,0,0,,0,,103,469,200,0,1,0,0,0,129,0,Matches,2024-05-18
186,Helinho,br BRA,FW,Red Bull Bragantino,24-023,2000,1.2,71,2,8,34,33,3,71,5,5,100.0,0,0.0,30,288,156,5,2,2,4,0,37,8,Matches,2024-05-18
187,Bruno Henrique,br BRA,FW,Flamengo,33-140,1990,4.3,169,4,22,70,81,19,169,10,7,70.0,2,20.0,105,786,500,19,13,6,7,2,121,32,Matches,2024-05-18
188,Bruno Henrique,br BRA,MF,Internacional,34-210,1989,2.6,153,3,18,96,40,0,153,3,1,33.3,2,66.7,81,309,147,1,1,0,7,2,94,4,Matches,2024-05-18
189,Gustavo Henrique,br BRA,DF,Corinthians,31-055,1993,2.8,144,17,70,69,5,5,144,0,0,,0,,72,256,90,0,0,0,1,1,94,0,Matches,2024-05-18
190,Luiz Henrique,br BRA,"MF,FW",Botafogo (RJ),23-137,2001,3.6,130,5,22,60,50,11,130,8,3,37.5,5,62.5,80,462,168,6,6,3,9,9,98,24,Matches,2024-05-18
191,Paulo Henrique,br BRA,DF,Vasco da Gama,27-298,1996,5.0,293,23,88,134,76,5,293,13,6,46.2,7,53.8,143,836,524,13,10,2,5,4,169,19,Matches,2024-05-18
192,Pedro Henrique,br BRA,FW,Corinthians,33-337,1990,0.8,29,2,4,13,12,2,29,0,0,,0,,16,98,45,2,2,0,0,0,18,3,Matches,2024-05-18
193,Pedro Henrique,br BRA,DF,Red Bull Bragantino,28-229,1995,3.0,175,28,67,104,4,1,175,0,0,,0,,106,505,377,1,1,0,1,0,121,0,Matches,2024-05-18
194,Hércules,br BRA,MF,Fortaleza,23-211,2000,3.9,172,7,29,110,36,5,172,8,7,87.5,1,12.5,107,563,234,5,4,0,9,3,115,9,Matches,2024-05-18
195,Marcelo Hermes,br BRA,"DF,MF",Criciúma,29-107,1995,3.0,133,5,54,43,37,5,133,3,1,33.3,2,66.7,69,219,79,1,4,0,2,1,80,12,Matches,2024-05-18
196,Diego Hernández,uy URU,"FW,MF",Botafogo (RJ),23-331,2000,1.3,61,1,10,29,22,3,61,4,1,25.0,3,75.0,28,135,41,1,2,1,2,2,34,7,Matches,2024-05-18
197,Lucca Holanda,br BRA,"FW,DF",Internacional,21-046,2003,1.4,30,0,3,10,17,4,30,2,0,0.0,2,100.0,17,116,41,2,0,1,4,2,20,6,Matches,2024-05-18
198,Hugo,br BRA,"DF,MF",Corinthians,26-263,1997,5.6,339,18,110,180,51,9,339,4,3,75.0,0,0.0,138,713,429,10,1,0,4,3,171,13,Matches,2024-05-18
199,Hugo,br BRA,DF,Botafogo (RJ),22-241,2001,4.0,222,11,72,102,49,4,222,4,1,25.0,1,25.0,96,423,203,7,2,2,7,0,115,9,Matches,2024-05-18
200,Vitor Hugo Amorim,br BRA,MF,Cruzeiro,20-090,2004,0.3,10,0,0,8,2,0,10,0,0,,0,,7,17,7,0,0,0,0,0,7,3,Matches,2024-05-18
201,José Hugo,br BRA,DF,Vitória,24-214,1999,0.3,22,0,1,12,9,5,22,5,4,80.0,1,20.0,17,122,35,3,1,2,2,2,18,3,Matches,2024-05-18
202,Victor Hugo,br BRA,FW,Flamengo,20-007,2004,0.2,22,1,5,11,7,1,22,1,0,0.0,1,100.0,11,74,14,0,0,0,1,0,14,2,Matches,2024-05-18
203,Hulk,br BRA,FW,Atlético Mineiro,37-298,1986,3.7,147,2,3,57,87,9,147,6,1,16.7,5,83.3,79,351,161,4,6,2,7,4,111,19,Matches,2024-05-18
204,José Hurtado,ec ECU,DF,Red Bull Bragantino,22-147,2001,3.0,123,13,40,43,42,4,123,7,5,71.4,2,28.6,46,371,260,10,5,2,4,1,54,12,Matches,2024-05-18
205,Igor,br BRA,MF,Flamengo,21-072,2003,0.5,31,4,6,18,7,1,31,5,2,40.0,3,60.0,11,53,16,0,0,0,2,0,15,0,Matches,2024-05-18
206,Gabriel Inocêncio,br BRA,DF,Juventude,29-272,1994,3.0,192,10,57,100,37,1,192,15,8,53.3,5,33.3,85,534,311,8,3,0,5,3,114,10,Matches,2024-05-18
207,Isaac,br BRA,DF,Fluminense,20-024,2004,0.1,10,0,2,2,6,0,10,2,1,50.0,1,50.0,6,28,21,1,0,0,0,0,7,3,Matches,2024-05-18
208,Zé Ivaldo,br BRA,"DF,MF",Cruzeiro,27-087,1997,3.5,196,16,77,97,24,10,196,3,2,66.7,1,33.3,130,669,393,5,8,0,1,0,135,0,Matches,2024-05-18
209,Jadsom,br BRA,MF,Red Bull Bragantino,22-364,2001,4.1,188,9,44,121,23,1,188,5,5,100.0,0,0.0,86,314,100,0,1,0,3,3,95,2,Matches,2024-05-18
210,Jadson,br BRA,MF,Juventude,30-262,1993,3.0,171,0,39,95,40,4,171,4,2,50.0,2,50.0,84,391,189,2,1,2,5,4,125,13,Matches,2024-05-18
211,Janderson,br BRA,"FW,DF",Vitória,25-012,1999,1.9,92,1,12,37,43,2,92,10,4,40.0,5,50.0,57,490,208,8,8,2,8,8,67,15,Matches,2024-05-18
212,Léo Jardim,br BRA,GK,Vasco da Gama,29-059,1995,6.0,166,143,164,2,0,0,166,0,0,,0,,83,502,317,0,0,0,0,0,63,0,Matches,2024-05-18
213,Jeffinho,br BRA,"FW,MF",Botafogo (RJ),24-140,1999,3.6,148,1,20,68,65,15,148,14,7,50.0,7,50.0,96,511,206,6,6,2,9,13,109,22,Matches,2024-05-18
214,Jemerson,br BRA,DF,Atlético Mineiro,31-268,1992,2.3,145,9,67,74,4,0,145,0,0,,0,,87,390,150,0,1,0,1,0,105,0,Matches,2024-05-18
215,Caíque de Jesus Gonçalves,br BRA,MF,Juventude,28-221,1995,3.8,245,15,84,147,16,1,245,3,2,66.7,1,33.3,118,650,270,2,1,0,2,3,151,4,Matches,2024-05-18
216,John,br BRA,GK,Botafogo (RJ),28-095,1996,3.0,135,91,133,2,0,0,135,0,0,,0,,81,483,257,0,0,0,1,0,69,0,Matches,2024-05-18
217,Felipe Jonatan,br BRA,DF,Fortaleza,26-093,1998,1.6,101,4,28,48,25,1,101,3,2,66.7,1,33.3,33,143,99,2,1,0,1,1,56,4,Matches,2024-05-18
218,Daniel Jr,br BRA,"MF,FW",Vitória,22-009,2002,0.3,28,0,2,12,14,0,28,3,0,0.0,2,66.7,21,174,66,0,2,0,1,1,21,4,Matches,2024-05-18
219,Luciano Juba,br BRA,DF,Bahia,24-263,1999,6.0,414,20,155,186,77,1,414,7,0,0.0,7,100.0,194,771,434,4,5,0,3,1,236,10,Matches,2024-05-18
220,Julimar,br BRA,"FW,MF",Ath Paranaense,23-114,2001,3.4,136,4,16,48,74,16,136,9,3,33.3,5,55.6,69,478,239,11,10,2,7,3,88,28,Matches,2024-05-18
221,Lucas Kal,br BRA,"MF,DF",Atl Goianiense,28-063,1996,1.3,50,4,15,29,6,0,50,0,0,,0,,21,88,29,0,0,0,1,0,28,1,Matches,2024-05-18
222,Walter Kannemann,ar ARG,DF,Grêmio,33-065,1991,1.1,63,3,20,43,0,0,63,0,0,,0,,35,173,96,1,0,0,2,0,41,0,Matches,2024-05-18
223,Kanu,br BRA,DF,Bahia,27-072,1997,4.0,230,30,141,89,1,1,230,2,0,0.0,1,50.0,134,561,344,0,0,0,0,0,164,0,Matches,2024-05-18
224,Alan Kardec,br BRA,FW,Atlético Mineiro,35-127,1989,0.1,1,0,0,0,1,0,1,0,0,,0,,1,15,15,1,1,0,0,0,1,1,Matches,2024-05-18
225,Renato Kayser,br BRA,FW,Criciúma,28-091,1996,0.9,23,1,2,13,8,5,23,1,0,0.0,1,100.0,14,33,10,0,0,0,1,1,18,3,Matches,2024-05-18
226,Renato Kayser,br BRA,FW,Fortaleza,28-091,1996,2.5,71,3,8,36,27,9,71,1,0,0.0,1,100.0,25,117,48,4,1,2,10,2,38,7,Matches,2024-05-18
227,John Kennedy,br BRA,FW,Fluminense,22-000,2002,1.3,42,1,5,16,21,6,42,8,3,37.5,5,62.5,23,151,44,1,0,1,3,3,34,10,Matches,2024-05-18
228,Keno,br BRA,FW,Fluminense,34-251,1989,0.9,30,0,3,11,16,4,30,1,1,100.0,0,0.0,14,121,76,4,1,3,1,2,25,6,Matches,2024-05-18
229,Kleiton,br BRA,FW,Juventude,25-025,1999,0.3,12,0,1,6,5,4,12,2,2,100.0,0,0.0,8,77,26,2,0,1,0,2,12,0,Matches,2024-05-18
