Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Matches;Curr_Date
115;Eliédson;br BRA;MF;Criciúma;21-062;2003;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
116;Rodrigo Ely;br BRA;DF;Grêmio;30-197;1993;3.0;0;1;0;0.0;0.33;0.00;0.00;;8.9;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
117;Alan Empereur;br BRA;DF;Cuiabá;30-069;1994;2.9;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
118;Endrick;br BRA;FW,MF;Palmeiras;17-302;2006;5.0;0;13;2;15.4;2.58;0.40;0.00;0.00;22.8;0;0;0;1.1;1.1;0.08;-1.1;-1.1;Matches;2024-05-18
119;Erick;br BRA;MF;Ath Paranaense;26-186;1997;5.9;1;9;1;11.1;1.52;0.17;0.11;1.00;15.3;0;0;0;1.4;1.4;0.16;-0.4;-0.4;Matches;2024-05-18
120;Erick;br BRA;DF,MF;São Paulo;26-160;1997;1.4;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
121;Erick;br BRA;FW;Juventude;27-136;1997;3.1;1;3;2;66.7;0.98;0.65;0.33;0.50;18.7;0;0;0;0.1;0.1;0.05;+0.9;+0.9;Matches;2024-05-18
122;Lucas Esquivel;ar ARG;DF;Ath Paranaense;22-217;2001;5.7;0;2;0;0.0;0.35;0.00;0.00;;31.1;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
123;Estevão;br BRA;FW,DF;Palmeiras;18-024;2006;2.8;1;9;2;22.2;3.20;0.71;0.00;0.00;22.4;1;1;1;1.3;0.5;0.06;-0.3;-0.5;Matches;2024-05-18
124;Lucas Esteves;br BRA;DF;Vitória;23-329;2000;3.4;0;3;1;33.3;0.87;0.29;0.00;0.00;26.4;1;0;0;0.1;0.1;0.04;-0.1;-0.1;Matches;2024-05-18
125;Oscar Estupiñan;co COL;FW;Bahia;27-141;1996;0.6;0;1;0;0.0;1.67;0.00;0.00;;13.0;0;0;0;0.0;0.0;0.04;0.0;0.0;Matches;2024-05-18
126;Lucas Evangelista;br BRA;MF;Red Bull Bragantino;29-012;1995;0.8;0;2;1;50.0;2.47;1.23;0.00;0.00;18.8;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
127;Éverson;br BRA;GK;Atlético Mineiro;33-301;1990;5.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
128;Everton;br BRA;FW;Grêmio;27-062;1997;0.4;0;1;0;0.0;2.37;0.00;0.00;;28.5;1;0;0;0.0;0.0;0.03;0.0;0.0;Matches;2024-05-18
129;Bruno Fabiano Alves;br BRA;DF;Cuiabá;33-032;1991;2.2;0;3;0;0.0;1.35;0.00;0.00;;16.2;0;0;0;0.1;0.1;0.05;-0.1;-0.1;Matches;2024-05-18
130;Fabinho;br BRA;MF;Palmeiras;22-039;2002;0.4;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
131;Fábio;br BRA;GK;Fluminense;43-231;1980;6.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
132;Fábio;br BRA;DF;Grêmio;33-314;1990;2.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
133;Fagner;br BRA;DF,MF;Corinthians;34-342;1989;4.3;0;2;1;50.0;0.47;0.23;0.00;0.00;29.7;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
134;Rodrigo Fagundes;br BRA;DF;Criciúma;37-069;1987;3.0;0;1;0;0.0;0.33;0.00;0.00;;6.1;0;0;0;0.1;0.1;0.06;-0.1;-0.1;Matches;2024-05-18
135;Luiz Felipe;br BRA;DF,MF;Atl Goianiense;30-252;1993;2.1;0;2;1;50.0;0.97;0.48;0.00;0.00;9.0;0;0;0;0.2;0.2;0.08;-0.2;-0.2;Matches;2024-05-18
136;Marcos Felipe;br BRA;GK;Bahia;28-035;1996;6.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
137;Lucas Fernandes;br BRA;MF;Cuiabá;26-241;1997;1.5;0;3;1;33.3;1.96;0.65;0.00;0.00;30.3;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
138;Matheus Fernandes;br BRA;MF;Red Bull Bragantino;25-323;1998;0.4;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
139;Nathan Fernandes;br BRA;FW,MF;Grêmio;19-092;2005;1.3;0;2;1;50.0;1.57;0.78;0.00;0.00;15.8;0;0;0;0.1;0.1;0.06;-0.1;-0.1;Matches;2024-05-18
140;Gatito Fernández;py PAR;GK;Botafogo (RJ);36-050;1988;3.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
141;Fernandinho;br BRA;MF;Ath Paranaense;39-014;1985;5.7;0;5;4;80.0;0.88;0.70;0.00;0.00;23.3;1;0;0;0.3;0.3;0.06;-0.3;-0.3;Matches;2024-05-18
142;Fernando;br BRA;DF;Ath Paranaense;24-247;1999;0.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
143;Fernando;br BRA;MF,DF;Internacional;36-298;1987;1.1;1;1;1;100.0;0.89;0.89;1.00;1.00;7.0;0;0;0;0.1;0.1;0.06;+0.9;+0.9;Matches;2024-05-18
144;Luiz Fernando;br BRA;FW,MF;Atl Goianiense;27-215;1996;4.9;1;6;3;50.0;1.22;0.61;0.17;0.33;19.7;0;0;0;0.3;0.3;0.06;+0.7;+0.7;Matches;2024-05-18
145;Nahuel Ferraresi;ve VEN;DF;São Paulo;25-181;1998;1.8;1;2;1;50.0;1.14;0.57;0.50;1.00;16.0;0;0;0;0.1;0.1;0.07;+0.9;+0.9;Matches;2024-05-18
146;Ferreira;br BRA;MF,FW;São Paulo;26-139;1997;1.2;2;6;3;50.0;5.09;2.55;0.33;0.67;16.0;0;0;0;0.5;0.5;0.08;+1.5;+1.5;Matches;2024-05-18
147;Filipinho;br BRA;MF,FW;Ath Paranaense;22-213;2001;0.6;0;1;0;0.0;1.67;0.00;0.00;;21.9;0;0;0;0.1;0.1;0.06;-0.1;-0.1;Matches;2024-05-18
148;Alan Franco;ec ECU;MF;Atlético Mineiro;25-271;1998;4.0;0;3;0;0.0;0.76;0.00;0.00;;20.6;0;0;0;0.1;0.1;0.04;-0.1;-0.1;Matches;2024-05-18
149;Alan Franco;ar ARG;DF;São Paulo;27-220;1996;3.5;0;2;0;0.0;0.57;0.00;0.00;;10.8;0;0;0;0.1;0.1;0.07;-0.1;-0.1;Matches;2024-05-18
150;Lucas Freitas;br BRA;DF;Juventude;23-119;2001;0.4;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
151;Marlon Freitas;br BRA;MF;Botafogo (RJ);29-052;1995;3.5;0;3;0;0.0;0.85;0.00;0.00;;27.5;0;0;0;0.1;0.1;0.02;-0.1;-0.1;Matches;2024-05-18
152;Bruno Fuchs;br BRA;DF;Atlético Mineiro;25-047;1999;0.9;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
153;Gabriel;br BRA;DF;Bahia;23-012;2001;5.0;0;5;1;20.0;1.00;0.20;0.00;0.00;11.5;0;0;0;0.2;0.2;0.04;-0.2;-0.2;Matches;2024-05-18
154;Gabriel;br BRA;GK;Juventude;31-234;1992;4.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
155;Marquinhos Gabriel;br BRA;MF;Criciúma;33-302;1990;2.6;0;2;1;50.0;0.78;0.39;0.00;0.00;30.4;0;0;0;0.0;0.0;0.01;0.0;0.0;Matches;2024-05-18
156;Zé Gabriel;br BRA;MF;Vasco da Gama;25-118;1999;0.7;0;2;0;0.0;2.77;0.00;0.00;;19.9;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matches;2024-05-18
157;Pablo Galdames Millán;cl CHI;MF;Vasco da Gama;27-140;1996;4.6;0;4;1;25.0;0.88;0.22;0.00;0.00;22.5;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matches;2024-05-18
158;Giuliano Galoppo;ar ARG;MF;São Paulo;24-335;1999;1.7;0;6;4;66.7;3.55;2.37;0.00;0.00;19.9;0;0;0;0.5;0.5;0.08;-0.5;-0.5;Matches;2024-05-18
159;Léo Gamalho;br BRA;FW;Vitória;38-109;1986;0.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
160;Mateo Gamarra;py PAR;DF;Ath Paranaense;23-211;2000;3.0;0;4;2;50.0;1.33;0.67;0.00;0.00;14.9;0;0;0;0.6;0.6;0.16;-0.6;-0.6;Matches;2024-05-18
161;Ganso;br BRA;MF;Fluminense;34-219;1989;4.0;1;1;1;100.0;0.25;0.25;1.00;1.00;9.2;0;0;0;0.3;0.3;0.30;+0.7;+0.7;Matches;2024-05-18
162;Luan Garcia;br BRA;DF;Palmeiras;31-008;1993;2.6;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
163;Rodrigo Garro;ar ARG;MF;Corinthians;26-135;1998;5.7;0;9;3;33.3;1.59;0.53;0.00;0.00;24.1;3;0;0;0.3;0.3;0.04;-0.3;-0.3;Matches;2024-05-18
164;Pedro Geromel;br BRA;DF;Grêmio;38-240;1985;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
165;Gerson;br BRA;FW,MF;Flamengo;26-364;1997;3.0;0;1;0;0.0;0.34;0.00;0.00;;10.9;0;0;0;0.1;0.1;0.06;-0.1;-0.1;Matches;2024-05-18
166;Gilberto;br BRA;FW;Juventude;34-348;1989;0.2;0;1;0;0.0;5.29;0.00;0.00;;17.5;0;0;0;0.1;0.1;0.07;-0.1;-0.1;Matches;2024-05-18
167;Luciano Giménez;ar ARG;FW;Cuiabá;24-090;2000;0.6;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
168;Giovane;br BRA;DF;Corinthians;20-176;2003;0.1;0;1;1;100.0;7.50;7.50;0.00;0.00;27.7;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
169;Leonardo Godoy;ar ARG;DF;Ath Paranaense;29-020;1995;4.5;1;2;1;50.0;0.45;0.22;0.50;1.00;21.1;0;0;0;0.1;0.1;0.06;+0.9;+0.9;Matches;2024-05-18
170;Bruno Gomes;br BRA;MF;Internacional;23-044;2001;0.6;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
171;Igor Gomes;br BRA;MF;Atlético Mineiro;25-062;1999;2.2;0;4;1;25.0;1.82;0.45;0.00;0.00;21.1;0;0;0;0.2;0.2;0.04;-0.2;-0.2;Matches;2024-05-18
172;Igor Gomes;br BRA;DF;Internacional;23-073;2001;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
173;William Gomes;br BRA;DF;São Paulo;18-064;2006;0.3;0;2;1;50.0;6.92;3.46;0.00;0.00;13.4;0;0;0;0.1;0.1;0.07;-0.1;-0.1;Matches;2024-05-18
174;Gustavo Gómez;py PAR;DF;Palmeiras;31-012;1993;5.0;0;8;1;12.5;1.60;0.20;0.00;0.00;10.4;0;0;0;0.5;0.5;0.06;-0.5;-0.5;Matches;2024-05-18
175;Mateus Gonçalves Martins;br BRA;MF,FW;Vitória;29-233;1994;2.3;0;3;1;33.3;1.29;0.43;0.00;0.00;20.0;0;0;0;0.2;0.2;0.05;-0.2;-0.2;Matches;2024-05-18
176;Yony González;co COL;MF,FW;Atl Goianiense;29-312;1994;1.1;0;2;1;50.0;1.80;0.90;0.00;0.00;19.7;0;0;0;0.1;0.1;0.07;-0.1;-0.1;Matches;2024-05-18
177;Gregore;br BRA;MF;Botafogo (RJ);30-077;1994;3.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
178;Guga;br BRA;DF;Fluminense;25-263;1998;0.6;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
179;Guilherme;br BRA;DF;Red Bull Bragantino;22-094;2002;1.2;0;2;0;0.0;1.62;0.00;0.00;;30.7;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
180;Luis Guilherme;br BRA;FW,DF;Palmeiras;18-099;2006;1.5;0;2;0;0.0;1.30;0.00;0.00;;16.1;0;0;0;0.3;0.3;0.17;-0.3;-0.3;Matches;2024-05-18
181;Zé Guilherme;br BRA;DF;Grêmio;19-063;2005;0.9;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
182;Gustavinho;br BRA;MF;Red Bull Bragantino;20-025;2004;4.3;0;3;1;33.3;0.70;0.23;0.00;0.00;25.5;0;0;0;0.1;0.1;0.02;-0.1;-0.1;Matches;2024-05-18
183;Gustavo;br BRA;GK;Criciúma;31-069;1993;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
184;Lucas Halter;br BRA;DF;Botafogo (RJ);24-016;2000;4.8;0;3;1;33.3;0.63;0.21;0.00;0.00;13.7;0;0;0;0.1;0.1;0.05;-0.1;-0.1;Matches;2024-05-18
185;Thiago Heleno;br BRA;DF;Ath Paranaense;35-244;1988;3.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
186;Helinho;br BRA;FW;Red Bull Bragantino;24-023;2000;1.2;0;4;1;25.0;3.36;0.84;0.00;0.00;36.8;1;0;0;0.1;0.1;0.03;-0.1;-0.1;Matches;2024-05-18
187;Bruno Henrique;br BRA;FW;Flamengo;33-140;1990;4.3;1;13;4;30.8;3.00;0.92;0.08;0.25;21.9;0;0;0;1.3;1.3;0.10;-0.3;-0.3;Matches;2024-05-18
188;Bruno Henrique;br BRA;MF;Internacional;34-210;1989;2.6;0;2;0;0.0;0.77;0.00;0.00;;31.9;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
189;Gustavo Henrique;br BRA;DF;Corinthians;31-055;1993;2.8;0;4;0;0.0;1.43;0.00;0.00;;10.0;0;0;0;0.4;0.4;0.10;-0.4;-0.4;Matches;2024-05-18
190;Luiz Henrique;br BRA;MF,FW;Botafogo (RJ);23-137;2001;3.6;1;7;1;14.3;1.95;0.28;0.14;1.00;25.5;0;0;0;0.2;0.2;0.03;+0.8;+0.8;Matches;2024-05-18
191;Paulo Henrique;br BRA;DF;Vasco da Gama;27-298;1996;5.0;0;5;1;20.0;1.00;0.20;0.00;0.00;22.8;0;0;0;0.3;0.3;0.07;-0.3;-0.3;Matches;2024-05-18
192;Pedro Henrique;br BRA;FW;Corinthians;33-337;1990;0.8;0;1;0;0.0;1.20;0.00;0.00;;14.6;0;0;0;0.1;0.1;0.07;-0.1;-0.1;Matches;2024-05-18
193;Pedro Henrique;br BRA;DF;Red Bull Bragantino;28-229;1995;3.0;1;1;1;100.0;0.33;0.33;1.00;1.00;9.4;0;0;0;0.1;0.1;0.14;+0.9;+0.9;Matches;2024-05-18
194;Hércules;br BRA;MF;Fortaleza;23-211;2000;3.9;1;6;3;50.0;1.53;0.76;0.17;0.33;20.8;0;0;0;0.3;0.3;0.05;+0.7;+0.7;Matches;2024-05-18
195;Marcelo Hermes;br BRA;DF,MF;Criciúma;29-107;1995;3.0;0;3;0;0.0;1.00;0.00;0.00;;23.3;0;0;0;0.1;0.1;0.04;-0.1;-0.1;Matches;2024-05-18
196;Diego Hernández;uy URU;FW,MF;Botafogo (RJ);23-331;2000;1.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
197;Lucca Holanda;br BRA;FW,DF;Internacional;21-046;2003;1.4;0;1;0;0.0;0.72;0.00;0.00;;12.4;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
198;Hugo;br BRA;DF,MF;Corinthians;26-263;1997;5.6;0;5;1;20.0;0.90;0.18;0.00;0.00;20.6;1;0;0;0.4;0.4;0.08;-0.4;-0.4;Matches;2024-05-18
199;Hugo;br BRA;DF;Botafogo (RJ);22-241;2001;4.0;0;1;0;0.0;0.25;0.00;0.00;;9.7;0;0;0;0.3;0.3;0.27;-0.3;-0.3;Matches;2024-05-18
200;Vitor Hugo Amorim;br BRA;MF;Cruzeiro;20-090;2004;0.3;0;1;0;0.0;3.60;0.00;0.00;;26.4;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
201;José Hugo;br BRA;DF;Vitória;24-214;1999;0.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
202;Victor Hugo;br BRA;FW;Flamengo;20-007;2004;0.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
203;Hulk;br BRA;FW;Atlético Mineiro;37-298;1986;3.7;0;8;0;0.0;2.18;0.00;0.00;;25.6;3;0;0;0.3;0.3;0.03;-0.3;-0.3;Matches;2024-05-18
204;José Hurtado;ec ECU;DF;Red Bull Bragantino;22-147;2001;3.0;0;3;1;33.3;1.00;0.33;0.00;0.00;21.6;0;0;0;0.1;0.1;0.03;-0.1;-0.1;Matches;2024-05-18
205;Igor;br BRA;MF;Flamengo;21-072;2003;0.5;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
206;Gabriel Inocêncio;br BRA;DF;Juventude;29-272;1994;3.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
207;Isaac;br BRA;DF;Fluminense;20-024;2004;0.1;0;1;0;0.0;7.50;0.00;0.00;;26.1;0;0;0;0.0;0.0;0.03;0.0;0.0;Matches;2024-05-18
208;Zé Ivaldo;br BRA;DF,MF;Cruzeiro;27-087;1997;3.5;0;9;2;22.2;2.57;0.57;0.00;0.00;23.3;0;0;0;0.3;0.3;0.03;-0.3;-0.3;Matches;2024-05-18
209;Jadsom;br BRA;MF;Red Bull Bragantino;22-364;2001;4.1;0;3;0;0.0;0.73;0.00;0.00;;26.8;0;0;0;0.1;0.1;0.02;-0.1;-0.1;Matches;2024-05-18
210;Jadson;br BRA;MF;Juventude;30-262;1993;3.0;0;5;3;60.0;1.67;1.00;0.00;0.00;23.8;0;0;0;0.2;0.2;0.03;-0.2;-0.2;Matches;2024-05-18
211;Janderson;br BRA;FW,DF;Vitória;25-012;1999;1.9;0;3;1;33.3;1.54;0.51;0.00;0.00;39.3;0;0;0;0.1;0.1;0.02;-0.1;-0.1;Matches;2024-05-18
212;Léo Jardim;br BRA;GK;Vasco da Gama;29-059;1995;6.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
213;Jeffinho;br BRA;FW,MF;Botafogo (RJ);24-140;1999;3.6;1;10;5;50.0;2.78;1.39;0.10;0.20;19.4;1;0;0;1.7;1.7;0.18;-0.7;-0.7;Matches;2024-05-18
214;Jemerson;br BRA;DF;Atlético Mineiro;31-268;1992;2.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
215;Caíque de Jesus Gonçalves;br BRA;MF;Juventude;28-221;1995;3.8;0;2;0;0.0;0.53;0.00;0.00;;32.9;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
216;John;br BRA;GK;Botafogo (RJ);28-095;1996;3.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
217;Felipe Jonatan;br BRA;DF;Fortaleza;26-093;1998;1.6;0;1;1;100.0;0.61;0.61;0.00;0.00;29.2;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
218;Daniel Jr;br BRA;MF,FW;Vitória;22-009;2002;0.3;0;1;1;100.0;2.90;2.90;0.00;0.00;39.4;0;0;0;0.0;0.0;0.01;0.0;0.0;Matches;2024-05-18
219;Luciano Juba;br BRA;DF;Bahia;24-263;1999;6.0;0;2;0;0.0;0.33;0.00;0.00;;29.7;1;0;0;0.1;0.1;0.03;-0.1;-0.1;Matches;2024-05-18
220;Julimar;br BRA;FW,MF;Ath Paranaense;23-114;2001;3.4;0;11;5;45.5;3.22;1.47;0.00;0.00;14.7;0;0;0;1.1;1.1;0.10;-1.1;-1.1;Matches;2024-05-18
221;Lucas Kal;br BRA;MF,DF;Atl Goianiense;28-063;1996;1.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
222;Walter Kannemann;ar ARG;DF;Grêmio;33-065;1991;1.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
223;Kanu;br BRA;DF;Bahia;27-072;1997;4.0;0;1;1;100.0;0.25;0.25;0.00;0.00;15.9;0;0;0;0.0;0.0;0.01;0.0;0.0;Matches;2024-05-18
224;Alan Kardec;br BRA;FW;Atlético Mineiro;35-127;1989;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
225;Renato Kayser;br BRA;FW;Criciúma;28-091;1996;0.9;1;3;1;33.3;3.18;1.06;0.33;1.00;10.2;0;0;0;0.5;0.5;0.15;+0.5;+0.5;Matches;2024-05-18
226;Renato Kayser;br BRA;FW;Fortaleza;28-091;1996;2.5;0;7;2;28.6;2.76;0.79;0.00;0.00;15.1;0;0;0;0.9;0.9;0.13;-0.9;-0.9;Matches;2024-05-18
227;John Kennedy;br BRA;FW;Fluminense;22-000;2002;1.3;0;4;2;50.0;3.03;1.51;0.00;0.00;15.1;0;0;0;0.2;0.2;0.04;-0.2;-0.2;Matches;2024-05-18
228;Keno;br BRA;FW;Fluminense;34-251;1989;0.9;0;2;1;50.0;2.31;1.15;0.00;0.00;22.4;0;0;0;0.3;0.3;0.16;-0.3;-0.3;Matches;2024-05-18
229;Kleiton;br BRA;FW;Juventude;25-025;1999;0.3;0;4;1;25.0;12.41;3.10;0.00;0.00;14.2;0;0;0;0.5;0.5;0.13;-0.5;-0.5;Matches;2024-05-18
